,id,title,tags
59,tt3464902,The Lobster,"['In', 'a', 'dystopian', 'near', 'future,', 'according', 'to', 'the', 'laws', 'of', 'The', 'City,', 'single', 'people', 'are', 'taken', 'to', 'The', 'Hotel,', 'where', 'they', 'are', 'obliged', 'to', 'find', 'a', 'romantic', 'partner', 'in', '45', 'days', 'or', ""they're"", 'transformed', 'into', 'beasts', 'and', 'sent', 'off', 'into', 'The', 'Woods.', 'ColinFarrell', 'RachelWeisz', 'JessicaBarden', 'OliviaColman', 'YorgosLanthimos']"
63,tt0100405,Pretty Woman,"['A', 'man', 'in', 'a', 'legal', 'but', 'hurtful', 'business', 'needs', 'an', 'escort', 'for', 'some', 'social', 'events,', 'and', 'hires', 'a', 'beautiful', 'prostitute', 'he', 'meets...', 'only', 'to', 'fall', 'in', 'love.', 'RichardGere', 'JuliaRoberts', 'JasonAlexander', 'LauraSanGiacomo', 'GarryMarshall']"
65,tt5580390,The Shape of Water,"['At', 'a', 'top', 'secret', 'research', 'facility', 'in', 'the', '1960s,', 'a', 'lonely', 'janitor', 'forms', 'a', 'unique', 'relationship', 'with', 'an', 'amphibious', 'creature', 'that', 'is', 'being', 'held', 'in', 'captivity.', 'SallyHawkins', 'OctaviaSpencer', 'MichaelShannon', 'DougJones', 'GuillermodelToro']"
66,tt1981677,Pitch Perfect,"['Beca,', 'a', 'freshman', 'at', 'Barden', 'University,', 'is', 'cajoled', 'into', 'joining', 'The', 'Bellas,', 'her', ""school's"", 'all-girls', 'singing', 'group.', 'Injecting', 'some', 'much', 'needed', 'energy', 'into', 'their', 'repertoire,', 'The', 'Bellas', 'take', 'on', 'their', 'male', 'rivals', 'in', 'a', 'campus', 'competition.', 'AnnaKendrick', 'BrittanySnow', 'RebelWilson', 'AnnaCamp', 'JasonMoore']"
68,tt0147800,10 Things I Hate About You,"['A', 'pretty,', 'popular', 'teenager', ""can't"", 'go', 'out', 'on', 'a', 'date', 'until', 'her', 'ill-tempered', 'older', 'sister', 'does.', 'HeathLedger', 'JuliaStiles', 'JosephGordon-Levitt', 'LarisaOleynik', 'GilJunger']"
69,tt1707386,Les Misérables,"['In', '19th-century', 'France,', 'Jean', 'Valjean,', 'who', 'for', 'decades', 'has', 'been', 'hunted', 'by', 'the', 'ruthless', 'policeman', 'Javert', 'after', 'breaking', 'parole,', 'agrees', 'to', 'care', 'for', 'a', 'factory', ""worker's"", 'daughter.', 'The', 'decision', 'changes', 'their', 'lives', 'forever.', 'HughJackman', 'RussellCrowe', 'AnneHathaway', 'AmandaSeyfried', 'TomHooper']"
70,tt0098384,Steel Magnolias,"['A', 'young', 'beautician,', 'newly', 'arrived', 'in', 'a', 'small', 'Louisiana', 'town,', 'finds', 'work', 'at', 'the', 'local', 'salon,', 'where', 'a', 'small', 'group', 'of', 'women', 'share', 'a', 'close', 'bond', 'of', 'friendship,', 'and', 'welcome', 'her', 'into', 'the', 'fold.', 'ShirleyMacLaine', 'OlympiaDukakis', 'SallyField', 'JuliaRoberts', 'HerbertRoss']"
71,tt8847712,The French Dispatch,"['A', 'love', 'letter', 'to', 'journalists', 'set', 'in', 'an', 'outpost', 'of', 'an', 'American', 'newspaper', 'in', 'a', 'fictional', 'twentieth', 'century', 'French', 'city', 'that', 'brings', 'to', 'life', 'a', 'collection', 'of', 'stories', 'published', 'in', '""The', 'French', 'Dispatch', 'Magazine"".', 'BenicioDelToro', 'AdrienBrody', 'TildaSwinton', 'LéaSeydoux', 'WesAnderson']"
72,tt0092890,Dirty Dancing,"['Spending', 'the', 'summer', 'at', 'a', 'Catskills', 'resort', 'with', 'her', 'family,', 'Frances', '""Baby""', 'Houseman', 'falls', 'in', 'love', 'with', 'the', ""camp's"", 'dance', 'instructor,', 'Johnny', 'Castle.', 'PatrickSwayze', 'JenniferGrey', 'JerryOrbach', 'CynthiaRhodes', 'EmileArdolino']"
73,tt0118799,Life Is Beautiful,"['When', 'an', 'open-minded', 'Jewish', 'waiter', 'and', 'his', 'son', 'become', 'victims', 'of', 'the', 'Holocaust,', 'he', 'uses', 'a', 'perfect', 'mixture', 'of', 'will,', 'humor,', 'and', 'imagination', 'to', 'protect', 'his', 'son', 'from', 'the', 'dangers', 'around', 'their', 'camp.', 'RobertoBenigni', 'NicolettaBraschi', 'GiorgioCantarini', 'GiustinoDurano', 'RobertoBenigni']"
74,tt4016934,The Handmaiden,"['A', 'woman', 'is', 'hired', 'as', 'a', 'handmaiden', 'to', 'a', 'Japanese', 'heiress,', 'but', 'secretly', 'she', 'is', 'involved', 'in', 'a', 'plot', 'to', 'defraud', 'her.', 'KimMin-hee', 'HaJung-woo', 'ChoJin-woong', 'MoonSo-ri', 'ParkChan-wook']"
76,tt3581652,West Side Story,"['An', 'adaptation', 'of', 'the', '1957', 'musical,', 'West', 'Side', 'Story', 'explores', 'forbidden', 'love', 'and', 'the', 'rivalry', 'between', 'the', 'Jets', 'and', 'the', 'Sharks,', 'two', 'teenage', 'street', 'gangs', 'of', 'different', 'ethnic', 'backgrounds.', 'AnselElgort', 'RachelZegler', 'ArianaDeBose', 'DavidAlvarez', 'StevenSpielberg']"
77,tt0096446,Willow,"['A', 'young', 'farmer', 'is', 'chosen', 'to', 'undertake', 'a', 'perilous', 'journey', 'in', 'order', 'to', 'protect', 'a', 'special', 'baby', 'from', 'an', 'evil', 'queen.', 'ValKilmer', 'JoanneWhalley', 'WarwickDavis', 'JeanMarsh', 'RonHoward']"
78,tt7984766,The King,"['Hal,', 'wayward', 'prince', 'and', 'heir', 'to', 'the', 'English', 'throne,', 'is', 'crowned', 'King', 'Henry', 'V', 'after', 'his', 'tyrannical', 'father', 'dies.', 'Now', 'the', 'young', 'king', 'must', 'navigate', 'palace', 'politics,', 'the', 'war', 'his', 'father', 'left', 'behind,', 'and', 'the', 'emotional', 'strings', 'of', 'his', 'past', 'life.', 'TomGlynn-Carney', 'GáborCzap', 'TomFisher', 'EdwardAshley', 'DavidMichôd']"
79,tt2674426,Me Before You,"['A', 'girl', 'in', 'a', 'small', 'town', 'forms', 'an', 'unlikely', 'bond', 'with', 'a', 'recently-paralyzed', 'man', ""she's"", 'taking', 'care', 'of.', 'EmiliaClarke', 'SamClaflin', 'JanetMcTeer', 'CharlesDance', 'TheaSharrock']"
80,tt0162222,Cast Away,"['A', 'FedEx', 'executive', 'undergoes', 'a', 'physical', 'and', 'emotional', 'transformation', 'after', 'crash', 'landing', 'on', 'a', 'deserted', 'island.', 'TomHanks', 'HelenHunt', 'PaulSanchez', 'LariWhite', 'RobertZemeckis']"
81,tt1570728,"Crazy, Stupid, Love.","['A', 'middle-aged', ""husband's"", 'life', 'changes', 'dramatically', 'when', 'his', 'wife', 'asks', 'him', 'for', 'a', 'divorce.', 'He', 'seeks', 'to', 'rediscover', 'his', 'manhood', 'with', 'the', 'help', 'of', 'a', 'newfound', 'friend,', 'Jacob,', 'learning', 'to', 'pick', 'up', 'girls', 'at', 'bars.', 'SteveCarell', 'RyanGosling', 'JulianneMoore', 'EmmaStone', 'GlennFicarra', 'JohnRequa']"
83,tt0126029,Shrek,"['A', 'mean', 'lord', 'exiles', 'fairytale', 'creatures', 'to', 'the', 'swamp', 'of', 'a', 'grumpy', 'ogre,', 'who', 'must', 'go', 'on', 'a', 'quest', 'and', 'rescue', 'a', 'princess', 'for', 'the', 'lord', 'in', 'order', 'to', 'get', 'his', 'land', 'back.', 'MikeMyers', 'EddieMurphy', 'CameronDiaz', 'JohnLithgow', 'AndrewAdamson', 'VickyJenson']"
84,tt0213847,Malena,"['Amidst', 'the', 'war', 'climate,', 'a', 'teenage', 'boy', 'discovering', 'himself', 'becomes', 'love-stricken', 'by', 'Malèna,', 'a', 'sensual', 'woman', 'living', 'in', 'a', 'small,', 'narrow-minded', 'Italian', 'town.', 'MonicaBellucci', 'GiuseppeSulfaro', 'LucianoFederico', 'MatildePiana', 'GiuseppeTornatore']"
85,tt0059742,The Sound of Music,"['A', 'young', 'novice', 'is', 'sent', 'by', 'her', 'convent', 'in', '1930s', 'Austria', 'to', 'become', 'a', 'governess', 'to', 'the', 'seven', 'children', 'of', 'a', 'widowed', 'naval', 'officer.', 'JulieAndrews', 'ChristopherPlummer', 'EleanorParker', 'RichardHaydn', 'RobertWise']"
86,tt0119822,As Good as It Gets,"['A', 'single', 'mother', 'and', 'waitress,', 'a', 'misanthropic', 'author,', 'and', 'a', 'gay', 'artist', 'form', 'an', 'unlikely', 'friendship', 'after', 'the', 'artist', 'is', 'assaulted', 'in', 'a', 'robbery.', 'JackNicholson', 'HelenHunt', 'GregKinnear', 'CubaGoodingJr.', 'JamesL.Brooks']"
87,tt1517451,A Star Is Born,"['A', 'musician', 'helps', 'a', 'young', 'singer', 'find', 'fame', 'as', 'age', 'and', 'alcoholism', 'send', 'his', 'own', 'career', 'into', 'a', 'downward', 'spiral.', 'LadyGaga', 'BradleyCooper', 'SamElliott', 'GregGrunberg', 'BradleyCooper']"
