,id,title,tags
42,tt1951264,The Hunger Games: Catching Fire,"['Katniss', 'Everdeen', 'and', 'Peeta', 'Mellark', 'become', 'targets', 'of', 'the', 'Capitol', 'after', 'their', 'victory', 'in', 'the', '74th', 'Hunger', 'Games', 'sparks', 'a', 'rebellion', 'in', 'the', 'Districts', 'of', 'Panem.', 'JenniferLawrence', 'JoshHutcherson', 'LiamHemsworth', 'PhilipSeymourHoffman', 'FrancisLawrence']"
46,tt2015381,Guardians of the Galaxy,"['A', 'group', 'of', 'intergalactic', 'criminals', 'must', 'pull', 'together', 'to', 'stop', 'a', 'fanatical', 'warrior', 'with', 'plans', 'to', 'purge', 'the', 'universe.', 'ChrisPratt', 'VinDiesel', 'BradleyCooper', 'ZoeSaldana', 'JamesGunn']"
47,tt0078748,Alien,"['The', 'crew', 'of', 'a', 'commercial', 'spacecraft', 'encounter', 'a', 'deadly', 'lifeform', 'after', 'investigating', 'an', 'unknown', 'transmission.', 'SigourneyWeaver', 'TomSkerritt', 'JohnHurt', 'VeronicaCartwright', 'RidleyScott']"
48,tt11866324,Prey,"['Naru,', 'a', 'skilled', 'warrior', 'of', 'the', 'Comanche', 'Nation,', 'fights', 'to', 'protect', 'her', 'tribe', 'against', 'one', 'of', 'the', 'first', 'highly-evolved', 'Predators', 'to', 'land', 'on', 'Earth.', 'AmberMidthunder', 'DakotaBeavers', 'DaneDiLiegro', 'StormeeKipp', 'DanTrachtenberg']"
49,tt1392190,Mad Max: Fury Road,"['In', 'a', 'post-apocalyptic', 'wasteland,', 'a', 'woman', 'rebels', 'against', 'a', 'tyrannical', 'ruler', 'in', 'search', 'for', 'her', 'homeland', 'with', 'the', 'aid', 'of', 'a', 'group', 'of', 'female', 'prisoners,', 'a', 'psychotic', 'worshiper,', 'and', 'a', 'drifter', 'named', 'Max.', 'TomHardy', 'CharlizeTheron', 'NicholasHoult', 'ZoëKravitz', 'GeorgeMiller']"
50,tt6264654,Free Guy,"['A', 'bank', 'teller', 'discovers', 'that', ""he's"", 'actually', 'an', 'NPC', 'inside', 'a', 'brutal,', 'open', 'world', 'video', 'game.', 'RyanReynolds', 'JodieComer', 'TaikaWaititi', 'LilRelHowery', 'ShawnLevy']"
51,tt0076759,Star Wars,"['Luke', 'Skywalker', 'joins', 'forces', 'with', 'a', 'Jedi', 'Knight,', 'a', 'cocky', 'pilot,', 'a', 'Wookiee', 'and', 'two', 'droids', 'to', 'save', 'the', 'galaxy', 'from', 'the', ""Empire's"", 'world-destroying', 'battle', 'station,', 'while', 'also', 'attempting', 'to', 'rescue', 'Princess', 'Leia', 'from', 'the', 'mysterious', 'Darth', 'Vader.', 'MarkHamill', 'HarrisonFord', 'CarrieFisher', 'AlecGuinness', 'GeorgeLucas']"
54,tt1798709,Her,"['In', 'a', 'near', 'future,', 'a', 'lonely', 'writer', 'develops', 'an', 'unlikely', 'relationship', 'with', 'an', 'operating', 'system', 'designed', 'to', 'meet', 'his', 'every', 'need.', 'JoaquinPhoenix', 'AmyAdams', 'ScarlettJohansson', 'RooneyMara', 'SpikeJonze']"
55,tt4154756,Avengers: Infinity War,"['The', 'Avengers', 'and', 'their', 'allies', 'must', 'be', 'willing', 'to', 'sacrifice', 'all', 'in', 'an', 'attempt', 'to', 'defeat', 'the', 'powerful', 'Thanos', 'before', 'his', 'blitz', 'of', 'devastation', 'and', 'ruin', 'puts', 'an', 'end', 'to', 'the', 'universe.', 'RobertDowneyJr.', 'ChrisHemsworth', 'MarkRuffalo', 'ChrisEvans', 'AnthonyRusso', 'JoeRusso']"
56,tt0066921,A Clockwork Orange,"['In', 'the', 'future,', 'a', 'sadistic', 'gang', 'leader', 'is', 'imprisoned', 'and', 'volunteers', 'for', 'a', 'conduct-aversion', 'experiment,', 'but', 'it', ""doesn't"", 'go', 'as', 'planned.', 'MalcolmMcDowell', 'PatrickMagee', 'MichaelBates', 'WarrenClarke', 'StanleyKubrick']"
59,tt3464902,The Lobster,"['In', 'a', 'dystopian', 'near', 'future,', 'according', 'to', 'the', 'laws', 'of', 'The', 'City,', 'single', 'people', 'are', 'taken', 'to', 'The', 'Hotel,', 'where', 'they', 'are', 'obliged', 'to', 'find', 'a', 'romantic', 'partner', 'in', '45', 'days', 'or', ""they're"", 'transformed', 'into', 'beasts', 'and', 'sent', 'off', 'into', 'The', 'Woods.', 'ColinFarrell', 'RachelWeisz', 'JessicaBarden', 'OliviaColman', 'YorgosLanthimos']"
60,tt5463162,Deadpool 2,"['Foul-mouthed', 'mutant', 'mercenary', 'Wade', 'Wilson', '(a.k.a.', 'Deadpool)', 'assembles', 'a', 'team', 'of', 'fellow', 'mutant', 'rogues', 'to', 'protect', 'a', 'young', 'boy', 'with', 'supernatural', 'abilities', 'from', 'the', 'brutal,', 'time-traveling', 'cyborg', 'Cable.', 'RyanReynolds', 'JoshBrolin', 'MorenaBaccarin', 'JulianDennison', 'DavidLeitch']"
62,tt0289879,The Butterfly Effect,"['Evan', 'Treborn', 'suffers', 'blackouts', 'during', 'significant', 'events', 'of', 'his', 'life.', 'As', 'he', 'grows', 'up,', 'he', 'finds', 'a', 'way', 'to', 'remember', 'these', 'lost', 'memories', 'and', 'a', 'supernatural', 'way', 'to', 'alter', 'his', 'life', 'by', 'reading', 'his', 'journal.', 'AshtonKutcher', 'AmySmart', 'MeloraWalters', 'EldenHenson', 'EricBress', 'J.MackyeGruber']"
