,id,title,description,director,cast,rating
6357,tt5477194,Iraivi,A drama about an alcoholic filmmaker and his friends who bring trouble to the women in their lives.,Karthik Subbaraj,"S.J. Suryah, 
Vijay Sethupathi, 
Bobby Simha, 
Anjali",8.0
6369,tt15251038,Minsky,"Set in New York City, the movie concerns the death of a famous artist and Marissa stars as the muse suspected of murdering him.",Sam Barlow,"Manon Gage, 
Hans Christopher, 
Ty Molbak, 
Daniel V. Graulau",9.1
6383,tt13634096,The Bacon Hair,"Surrounded by towering walls and patrolled by mysterious curfew bots, Bacon City is no ordinary place in Roblox. This movie explores the life of Zayden, a poor Bacon Hair, as he uncovers the secrets of his city.",ObliviousHD,"Leah Ashley, 
Tom Aglio, 
Gen Sherard, 
Graham Rowat",8.0
6385,tt0179955,Cat City,"In the year 80 AMM (After Mickey Mouse) on planet X the crime-syndicated Cats try to erase the Mouse-population once and for all. A scientist of the mice, prof. Fushimishi seems to have ...                See full summary »",Béla Ternovszky,"Miklós Benedek, 
Gyula Bodrogi, 
Ilona Béres, 
Péter Haumann",8.3
6391,tt13168272,I Flip You Off for Four Hours,"Hollywood director, David F. Sandberg, flips you off for four consecutive hours.",David F. Sandberg,David F. Sandberg,8.5
6418,tt2877108,Soodhu Kavvum,"Das, with his team, kidnap Arumai, son of a politician, who has been planning his own kidnapping to extract money from his father. Problems arise, when an insane cop is brought to handle the case.",Nalan Kumarasamy,"Vijay Sethupathi, 
Sanchita Shetty, 
Radha Ravi, 
M.S. Bhaskar",8.3
6434,tt14907358,Shelter in Solitude,"Follows a wannabe country singer, faith-filled and her unconventional relationship.",Vibeke Muasya,"Robert Patrick, 
Siobhan Fallon Hogan, 
Dan Castellaneta, 
Peter Macon",9.3
6491,tt0050322,Do Ankhen Barah Haath,"Progressive, reform-minded young warden gets permission to take six surly murderers from prison to dilapidated country farm, to rehabilitate it and themselves through hard work and kindly guidance.",Shantaram Rajaram Vankudre,"Shantaram Rajaram Vankudre, 
Sandhya, 
Ulhas, 
B.M. Vyas",8.4
6511,tt11423800,Boy in the Corner,"The backward system of society pushes another dream-filled boy to the curb, with his aspiration suppressed, he is at risk of falling into the attractive arms of gang life.",Joshy Lee,"Cyran Vergara, 
Victoria Shepherd, 
Akil Largie, 
Shaun Pelayo",8.5
6526,tt0377518,Bingbong: The Vincent Crisologo Story,"Bingbong, son of the Governor of Ilocos Sur, used to make headlines terrorizing people in their province with guns, goons, and gold. Eventually, he paid for his misdeeds in Muntinlupa when ...                See full summary »",Romy Suzara,"Rudy Fernandez, 
Charito Solis, 
Eddie Rodriguez, 
Kristine Garcia",8.1
6576,tt11651550,Operation Java,"The story revolves around a group of officers and a series of mysteries, events and cases reported before them in the Cyber Cell. It is also about how they plan and execute their operations.","Tharun Moorthy, 
Sudhi Maddison","Balu Varghese, 
Lukman Lukku, 
Irshad, 
Binu Pappu",8.1
6579,tt14120534,Chedda Boys,"King a promising basketball prospect raised in a family of drug dealing, eager to make his name. After graduating high school, he joins his cousins in expanding the family business. The trio become major players in the drug world.",Kwende Ried,"Erica Pinkett, 
Kaamel Hasaun, 
Elle Breaunna, 
Glen Tattoo Man Paige",9.3
6595,tt5038904,Not by the Book,"Ben is caught cheating in his final A-level maths exam by his teacher, Ms Bushnell. In return for not reporting Ben she asks him to do her a favour, help kidnap her cheating husband, a task neither are cut out for.",Raza Mallal,"Max Abraham, 
Nicole Faraday, 
Martin Trenaman, 
Natasha New",8.2
6600,tt0816258,Pokiri,A money-minded criminal has to deal with two rival gangs as well as an evil cop threatening his girlfriend.,Puri Jagannadh,"Mahesh Babu, 
Ileana D'Cruz, 
Prakash Raj, 
Nassar",8.0
6689,tt8316026,Rang Panjab,"It's a story about a guy who stands against the bad things he is seeing happening around him like politics, administration problems, drugs, crime, etc.","Rakesh Mehta, 
Paramjit Singh","Deep Sidhu, 
Reena Rai, 
Hobby Dhaliwal, 
Gurjit Singh",8.3
6805,tt21740882,Alipiriki Allantha Dooram Lo,"A small-time idol frame seller, hitches a robbery for quick money and this swirls into a big-time money hunt changing his life and others life forever and it's a divine decision which exemplifies the fact ""what goes around comes around"".",Anand J,"N Raavan Reddy, 
Sri Nikitha, 
'Shatavadhani' Amudala Murali, 
Lahari Gudivada",8.2
6812,tt0123392,B.D. la munte si la mare,Three paroled inept Romanian convicts dream up get-rich-quick schemes on the Black Sea Riviera where a petty-crime police squad led by Captain Panait is vacationing.,Mircea Dragan,"Toma Caragiu, 
Dem Radulescu, 
Ion Fintesteanu, 
Puiu Calinescu",8.6
6831,tt0060161,Watch Out for the Automobile,"A very good cop tries to catch a very insidious and extremely clever serial car thief. The bitter irony is that the thief is not very clever, absolutely not insidious, and a virtuous person and his friend.",Eldar Ryazanov,"Innokentiy Smoktunovskiy, 
Oleg Efremov, 
Lyubov Dobrzhanskaya, 
Olga Aroseva",8.0
6854,tt3394420,Ulidavaru Kandanthe,"A journalist sets out to uncover the truth behind an incident, through the perspectives of different people, unraveling how they and their lives are intertwined with it.",Rakshit Shetty,"Rakshit Shetty, 
Rishab Shetty, 
Kishore Kumar G., 
Achyuth Kumar",8.4
6875,tt0098573,Don't Let Them Shoot the Kite,"Baris, a 5 year-old little boy, has to stay in a prison with her mother during her detention period. Baris develops a special relationship with Inci, a young woman who also stays in prison. She promises him that the kite will fly someday.",Tunç Basaran,"Ozan Bilen, 
Nur Sürer, 
Füsun Demirel, 
Güzin Özipek",8.3
6923,tt8309088,Carta Blanca,"A police officer lives between two worlds, dispensing justice under the ""White Card"" code and trying to avoid getting executed by the same system.",Pedro Urrutia,"Pepe Sierra, 
Héctor Aníbal, 
Damián Alcázar, 
Julio Bracho",8.8
6924,tt1278060,The Garden of Sinners: Paradox Spiral,A teenage demon hunter uses her mystical powers to investigate supernatural events.,"Takayuki Hirao, 
Takahiro Miura","Maaya Sakamoto, 
Kenichi Suzumura, 
Takako Honda, 
Jôji Nakata",8.0
6969,tt0140348,Mahanadi,"An innocent man is framed in a financial scam and imprisoned. After his release, he learns that his daughter was sold into prostitution and he struggles to free her.",Santhana Bharathi,"Kamal Haasan, 
Sukanya, 
Poornam Vishwanathan, 
Mahanadhi Shobana",8.6
6990,tt4338246,Desperate Waters,"A newly widowed man embarks on a sailing trip from LA to Hawaii and employs an eager young couple to crew his luxurious boat. Shortly after setting sail, the chemistry of the crew begins to shift, as does their original motivations.","Jeffry Druce, 
Yan van der Hoek Gomez","Matthew Lawrence, 
Peggy Blow, 
Charlene Amoia, 
Sarah Scott",8.8
7007,tt0101649,Thalapathi,An orphan named Surya raised in a slum befriends a good crime boss named Devaraj and works for him. Their existence is threatened when a new honest district collector arrives.,Mani Ratnam,"Rajinikanth, 
Mammootty, 
Shobana, 
Arvind Swami",8.5
7013,tt0471571,Athadu,"A gunman for hire is framed for murder, and assumes a dead man's identity while hiding from the police.",Trivikram Srinivas,"Mahesh Babu, 
Trisha Krishnan, 
Prakash Raj, 
Sonu Sood",8.2
7050,tt3569782,Jigarthanda,"An aspiring director targets a ruthless gangster because he wants to make a violent gangster film. His discreet attempts to research the gangster fail miserably. Finally when he gets caught snooping, things hit the fan.",Karthik Subbaraj,"Siddharth, 
Bobby Simha, 
Lakshmi Menon, 
Nassar",8.2
7166,tt8282400,Saade Aale,Two athletic brothers fall in the fastidious and lethal labyrinth of society.,Jatinder Mauhar,"Guggu Gill, 
Deep Sidhu, 
Sukhdeep Sukh, 
Amrit Aulakh",9.1
7218,tt7598276,Phantom,"A young reporter reveals, in search of her first big story, the cruel truth about the legend of the phantom and a 15-year unsolved murder series .",Stephan Taubert,"Sascha Malo Klemm, 
Reinhardt Großmann, 
Stephan Taubert, 
Kathleen Lepel",8.0
7219,tt21741518,Parvatinagar,"Police arrest former lover 'Arvind' of a prostitute 'Shweta' for her murder . The police are suspicious of Arvind but have no evidence to support it. After getting beaten up by the police, ...                See full summary »",Takshashil Sontakke,"Shobha Chavan, 
Prasenjit Erondolikar, 
Chandu Kadroli, 
Suresh Kadroli",9.7
7233,tt22171940,No End,"Ayaz is an ordinary man who wishes for his own home. His brother-in-law left Iran for a long time due to his anti-government activities, but the news of his possible return reaches Ayaz. ...                See full summary »",Nader Saeivar,"Vahid Mobasheri, 
Shahin Kazem Najad, 
Fahime Jahani, 
Narges Delaram",9.3
7265,tt1621830,Monpura,"A housemaid is killed by a local landlord's son. His servant takes the blame for the murder, to save the landlord's mentally ill son and is marooned in an island named Monpura. There the servant comes across a fisherman's daughter.","Md. Hafizur Rahman, 
Giasuddin Selim","Chanchal Chowdhury, 
Farhana Mili, 
Shirin Alam, 
Mohiuddin Bahar",8.7
7352,tt15255448,Dangerous Ones,"A New York City couple decide to take a getaway trip to Texas, but unknowingly cross paths with the wrong kind of people.",Rankin Dean,"Joshua Logan Alexander, 
Mariel Ardila, 
Gabe Baca, 
Lily Balogh",9.5
7373,tt2075108,22 Shey Shraban,An ex-cop is hired to track down a serial killer who carries out his killings according to Bengali poetry.,Srijit Mukherji,"Prasenjit Chatterjee, 
Parambrata Chattopadhyay, 
Raima Sen, 
Abir Chatterjee",8.1
7398,tt12230756,Detective Inspector,"After the events of The Arsonist (2020), Detective Constable Price (George Everett-Button) and Detective Inspector Newman (Toby Haycock) team up to defend the city from corruption.",Morgan O'Callaghan,"George Everett-Button, 
Toby Haycock, 
Tom Bryer, 
Matthew Hoad",9.5
7451,tt9106768,Michael Jackson: Smooth Criminal (II),Michael tried to protect three children as he is chased by Mr Big and his army across a city. Excerpt from Moonwalker 1988.,Colin Chilvers,"Brandon Quintin Adams, 
Michael Jackson, 
Sean Lennon, 
Kelley Parker",8.5
7499,tt20356178,The Troubles: A Dublin Story,"Two young Dublin brothers must navigate loyalty, honour and the dangerous world of republicanism as they fuel the Northern war machine - by any means necessary.",Luke Hanlon,"Ray Malone, 
Adam Redmond, 
Wayne Byrne, 
William Delaney",8.2
7509,tt4429128,Papanasam,Desperate measures are taken by a man who tries to save his family from the dark side of the law after they commit an unexpected crime.,Jeethu Joseph,"Kamal Haasan, 
Gautami, 
Nivetha Thomas, 
Esther Anil",8.4
7512,tt16606530,Scheme Queens,Four friends who are down on their luck decide to rob a ruthless Rastafarian jewel thief by conning his second in command.,Cas Sigers-Beedles,"Nicole Acosta, 
Sean Anthony Baker, 
Brii Renee', 
Javarius Conway",8.2
7530,tt23875604,Thugs of Ramaghada,"A Battle of Ego, revenge, bloodshed saga between Aravind and Samuel at remote town Ramaghada.",Karthik Maralabhavi,"Chandan Raj, 
Ashwin Hassan, 
Mahalakshmi, 
Tiger Ganga",8.3
7542,tt9310280,Mulshi Pattern,"A stark portrayal of the hardships faced by farmers, Mulshi Pattern tackles some of the raging issues of our times. The film lays bare the deep flaws of the system which turns the farmer into a criminal and a social outcast.",Pravin Tarde,"Sunil Abhyankar, 
Om Bhutkar, 
Umesh Damle, 
Kshitish Date",8.3
7635,tt22814258,The Next Morning,"Children are similar to gods, so how do they become devils?",Senthilkumar Alamuthu,"Eram Ali, 
Susmita Banerjee, 
Kaakan Debnath, 
Mina Ghosh",9.8
7661,tt11307462,Lucy ist jetzt Gangster,Reliable sources claim 10-year-old Lucy - actually a quiet and lovable primary school student - is about to rob a bank in the pedestrian zone of Bietigheim-Bissingen. Her motive is easy to ...                See full summary »,Till Endemann,"Kostja Ullmann, 
Franziska Wulf, 
Esther Schweins, 
Bettina Lamprecht",8.0
7759,tt16745042,Bad Romance,"Bad Romance is a comedic neo-noir about a socially awkward lonely guy, Rob, who attempts to track down the man who killed his wife -- but not for revenge, just to make friends and find love along the way.",Chad Hamilton,"Sanjay Rao, 
Emily Trent, 
Jeff Riberdy, 
Kristen Marie Perry",8.9
7789,tt0237257,Gaddaar,A group of thieves hunt for the traitor who has disappeared with the loot from their last big heist.,Harmesh Malhotra,"Vinod Khanna, 
Yogeeta Bali, 
Pran Sikand, 
Madan Puri",8.0
7818,tt22051136,Armstrong,"Free convict, Armstrong struggles to start over, causing him to rob on his first day out. This, along with a rival fatal love affair and his friends gang affiliation could cause him a lot more than a trip back to jail.","Tray Williams, 
Jessica Law-Davis","Jaylon Bolden, 
Christian Menace, 
Jamal Woolard, 
Gloria Prince",8.2
7827,tt4879102,Films Confiscated from a French Brothel,"A bare all Avant-garde Anthology homage to silent stag films, vintage erotica and pre-code sexiness.","Selene Kapsaski, 
Gabriella Kapsaski, 
Bob Moricz, 
Drusilla Phillips, 
Craig Podmore, 
J.P. Schmidt","Patrick Carney Junior, 
Tom Christoffel, 
Barry Cortez, 
Una Debrovnik",8.8
7833,tt0139876,Baasha,"An auto driver, Manikam, desperately tries to hide his dark underworld side to keep his promise to his father.",Suresh Krishna,"Rajinikanth, 
Nagma, 
Raghuvaran, 
Vijayakumar",8.3
7974,tt3320542,Ugramm,A man with a dangerous past must protect a girl from those who are hell bent on killing her.,Prashanth Neel,"Sriimurali, 
Haripriya, 
Thilak Shekar, 
Atul Kulkarni",8.1
7983,tt16227768,Lottery,"A young tearaway wins the lottery, but risks losing it all when he becomes embroiled in a toxic love triangle with a pair of recovering scam artists.",Ryan J. Smith,"Mitchell Fisher, 
Niamh Branigan, 
Neizan Fernandez, 
Harry McLafferty",8.6
7998,tt15108826,Joint,"After serving 2 years in prison, Ishigami Takeshi spent two years working on a construction site and building up his funds before he returned to Tokyo with the help of Yasu, his best friend...                See full summary »",Oudai Kojima,"Ikken Yamamoto, 
Jin-Cheol Kim, 
Chang-bak Kim, 
Keisuke Mitsui",8.4
8072,tt19879660,Dharmaveer,"A biopic on life of a Hindu nationalist leader Anand Dighe, through various incidents narrated by his close aides.",Pravin Tarde,"Prasad Oak, 
Kshitish Date, 
Makarand Date, 
Shruti Marathe",8.1
8171,tt24517618,Beginning,Two people -An autistic teenager living with his mother and A young woman abducted by an unknown group.,Jagan Vijaya,"Kpy Bala, 
Gouri Kishan, 
Vinoth Kishan, 
Laguparan",9.1
8209,tt19037684,Range Road 290,"A day in the life of Samar and Jeeta, two street-smart Punjabi drug dealers from Calgary. After serving 3 years in prison, today Samar returns home to an estranged wife Kamal. Though his ...                See full summary »",Satinder Kassoana,"Harsharan Singh, 
Amanindar Dhillon, 
Arshdeep Purba, 
Satinder Kassoana",9.5
8221,tt2146960,Vazhakku Enn 18/9,A girl gets in trouble when her boyfriend films her private moments on his mobile phone without her knowledge.,Balaji Sakthivel,"Sri, 
Mithun Murali, 
Urmila Mahanta, 
Manisha Yadav",8.3
8230,tt0278501,In Harihar Nagar,"Four young men are enamored by Maya, their next-door neighbor. However, she is in town to investigate the mysterious circumstances surrounding the death of her brother.","Lal, 
Siddique","Mukesh, 
Siddique, 
Jagadish, 
Ashokan",8.6
8272,tt10837952,East of Middle West,A teenage runaway and a widowed father each fight to take matters into their own hands to redeem their dark past.,Brian Lucke Anderson,"Carson MacCormac, 
Scott McCord, 
Joris Jarsky, 
Sophie Hoyt",8.1
8515,tt8561086,Joseph,"The story develops through the life of four retired policemen. It has the tone of a thriller investigation. An issue affecting the life of Joseph, the central character, and his family is being investigated.",M. Padmakumar,"Joju George, 
Athmeeya Rajan, 
Dileesh Pothan, 
James Eliya",8.0
8600,tt0187115,Kshana Kshanam,A high-profile bank robbery in the city wreaks havoc in the life of an unsuspecting regular young woman when she's caught in the line of fire between the villains and the police.,Ram Gopal Varma,"Sridevi, 
Venkatesh Daggubati, 
Paresh Rawal, 
Rami Reddy",8.1
8622,tt0063845,The Golden Calf,"A crook named Ostap Bender, who survived a murder attempt by Kisa Vorobyaninov in ""12 Chairs, "" now schemes to extort 1 million from an underground millionaire.",Mikhail Shvejtser,"Sergey Yurskiy, 
Leonid Kuravlyov, 
Zinoviy Gerdt, 
Evgeniy Evstigneev",8.3
8650,tt13543898,Northern Shade,A troubled Army veteran emerges from isolation when his younger brother is recruited by an extremist militia.,Christopher Rucinski,"Jesse Gavin, 
Titania Galliher, 
Joseph Poliquin, 
Alejandro Bravo",8.9
8655,tt13539492,Psychedelic Involvement,"After his local drug dealer introduces him to the underworld of Sheffield, Adam becomes embroiled in a get rich quick scheme under the influence of LSD.",Joshua Morrison,"Harry Crawford, 
Lee Westwick, 
Jo Barker, 
Steve Shinners",9.1
8719,tt0252619,From the Village to the City,"The sequel of The Stupid Millionaire (1974), the fun continues this time in Ankara, after the 4 brothers find the heritage from their father which is a box-ful of gold.",Ertem Egilmez,"Kemal Sunal, 
Meral Zeren, 
Zeki Alasya, 
Metin Akpinar",8.3
8729,tt1389381,Tiltil,"The plot of the movie unfolds through the testimonies of three young sisters: Uring (Pia Peron), Luray (Sachi Sanders), and Elya (Jean Andrews), who recount the grisly sexual molestation ...                See full summary »",Neal 'Buboy' Tan,"Michael De Mesa, 
Alma Moreno, 
Pia Peron, 
Sachie Sanders",8.4
8752,tt23058594,Focus,"Bhanuchander, a cop gets murdered at a guest house. The investigating officer Vijay Shanker takes up the case and suspects it to be a possible homicide. Will Vijay and Bhanuchander's wife (Suhasini) be able to track the criminals?",G Surya Teja,"Muskan Arora, 
Raghu Babu, 
Surya Bhagawan, 
Bhanuchander",8.2
8811,tt7875666,Roads of Fear,"Elon, who suffers from bipolar disorder, wants to please his father, the head of a mafia in the south of France, and participates ""in spite of himself"" in crimes. However, every action has consequences and a heavy price to pay.",Emmanuel Saez,"Adrien Stoclet, 
Vincent Andres, 
Laurent Cerulli, 
Manuel Gonçalves",8.2
8832,tt11981382,Imperative,A vigilante killer is terrorising a Northern town whilst a detective trying to catch him is battling his own demons. Who will win this cat and mouse battle?,Thierry Chavrimootoo,"Jamie Coulter, 
James Merrill, 
Sebastian Jennings, 
Tony Lovell",8.3
8875,tt18298296,Sorry Karma Returns,"A group of youngsters led by PK, the son of a political heavyweight are on a journey to their resort and the Karma returns in various forms through all the sins they have committed in the past. Will the Karma triumph over the tyranny ?",Brahmanand Reddy,"Ragini Dwivedi, 
Arjun Sharma, 
M.D. Afzal, 
Harshitha Kallingal",9.7
8902,tt7953814,The Foundation of Criminal Excellence,"Imants Veide is writing a script about con artists and their schemes. Together with his friend Harijs Kuharjonoks he's trying them out for real for greater authenticity, but gets too entangled in real criminal schemes.",Oskars Rupenheits,"Lauris Klavins, 
Andris Daugavins, 
Maris Micerevskis, 
Armands Brakmanis",8.1
8948,tt15196976,Last Chance,"In a world that is consumed by fake news, Eddie Lowry is an idealist who has been squeezed out of San Diego's mainstream media because of his daring refusal to change into a click bait or ...                See full summary »",George Jac,"Jayce Venditti, 
Eva Ceja, 
Jordan Jacobo, 
Jonnie Kristen Maze",9.0
8972,tt15373762,Case 30,CASE 30 tells the story of a murder case which has been assigned to Crime Branch Officer Arjun bharadwaj. How Arjun investigates and unthreads the case is the rest of the story.,Sandeep Pydimarri,"Siddharth Naidu, 
Shamili Uniyal, 
Tanvi Gawade",9.0
9068,tt0233234,Land of Fear,A mix between an honored police officer who fight the crimes and a drug dealer in the same person and a confliction in and out.,Daoud Abdel Sayed,"Ahmed Zaki, 
Farah, 
Hamdy Gheith, 
Abdel Rahman Abou Zahra",8.1
9092,tt4028132,Traffickers,"After one of their own is murdered, a family of drug dealers in rural Pennsylvania will risk everything to find those responsible...even if it means losing everything in the process.",Sean Roberts,"Jack Buckley, 
Michael Kokinda, 
Celeste Moratti, 
Alex Odle",8.2
9117,tt22045080,DJ Wale Babu,"A village lad goes to the city where he finds the love of his life. Circumstances lead him to work as a DJ but eventually lands in jail. When the situation finally gets under his control, he realizes he is just a mere pawn of a politician.",Mandeep Benipal,"Vikas Mehta, 
Balwinder Bullet, 
Gulzaar Chhaniwala, 
Aashish Duggal",9.1
9118,tt0253991,Zübük,"Zübük gets expelled from the political party that he is a member of, due to corruption. The journalist Yasar wants to make a news story about his case and investigates Zübük's doings. Yasar...                See full summary »",Kartal Tibet,"Kemal Sunal, 
Nevra Serezli, 
Metin Serezli, 
Kadir Savun",8.5
9325,tt8550276,Foster Sin,The movie Foster Sin will bring some awareness to the mistreatment of the children in the foster care system.,"Ray Loot, 
Kevin King","Bryan Alexander, 
Rodney Barnhill, 
Lamar Baucom-Slaughter, 
Kevin Bencosme",9.5
9333,tt11469744,Mathu Vadalara,"Simha is a courier delivery boy who gets peanuts as salary despite putting in a lot of hard work. As Babu gets frustrated with his job, his friend and roommate Satya shows him how to get '...                See full summary »",Ritesh Rana,"Sri Simha Koduri, 
Satya, 
Naresh Agastya, 
Athulya Chandra",8.2
9354,tt4653794,Proverbs,"Inspired by the true story of Christopher Pittman (Christ Hickman), the 12 year old sentenced to 30 years in Prison. His case became synonymous with blaming Zoloft as the culprit of his crime, known as the ""ZOLOFT DEFENSE""",Terry Davis,"Jonathan Abreu, 
Diana Moon Alfaro, 
Ahjanee Armstrong, 
Dina B.",8.4
9430,tt0988046,Sinners,"Three young men, following the word of God as they know it, set off to avenge their sins, and plummet into a world of robbery, thievery, seduction and murder.",Tory Christopher,"Ben Kurland, 
Matt Fry, 
Sean Hoagland, 
Mark Plachta",8.0
9500,tt0375878,Kaakha..Kaakha: The Police,"After a police team kills his brother, a drug-dealing gangster vows to kill the entire team and their respective families.",Gautham Vasudev Menon,"Suriya, 
Jyotika, 
'University' Jeevan, 
Daniel Balaji",8.0
9540,tt5128282,Revenge Strategy,A father who has tragically lost his daughter joins forces with a betrayed terrorist to settle a score before the spiral of revenge reaches them.,CarlitosChance,"Alejandro Aguilar, 
Elizabeth Cervantes, 
Lara Corrochano, 
Elkin Díaz",9.4
9563,tt6869532,Kill the Irishman,"When his fiance is murdered by the very mafia he called family, Irish Gangster Conor O'Callahan flees Ireland in an attempt to escape his painful memories. Now living in Canada almost two ...                See full summary »",Wes Beiko,"Colby Armstrong, 
RaeAnne Boon, 
Michèlle Brandes, 
Steve Dobsin",8.1
9588,tt17507906,FOUR: Vol. I,A suspenseful and mysterious journey of 8 people where secrets and crimes get dirtier. FOUR is an anthology of different stories with extraordinary and unique concepts.,Abhishek Swain,"Partha Ray, 
Satya Ranjan, 
Ashwin Ray Mohapatra, 
Swastik Choudhury",8.6
9633,tt21291982,Coisa Pública,"In a student republic, seven young people share their lives in an apparently common way. A party, however, brings an event that will take down any social mask and throw the republic into its hidden rot.",André Borelli,"Dora Figueiredo, 
Pablo Diego Garcia, 
Gabriela Mag, 
Bruno Pacheco",8.2
9751,tt15169774,Doctor Bakshi,"When a novelist gets trapped in a murder mystery, Doctor Bakshi uses his medical methods to uncover hidden secrets from the past.",Saptaswa Basu,"Parambrata Chattopadhyay, 
Subhasree Ganguly, 
Akshay Kapoor, 
Maahi Kar",8.7
9854,tt7945012,King of Newark 2,"After an assassination attempt, Mayor Malcolm Graves fights to regain control of his life and city while saving his son from making the same mistakes of his past. Based on Living With No Regrets (2013), and King of Newark (2016).",Jamal Hall,"Alonzo Herran JR, 
Eric Roberts, 
Chuck Zito, 
Lillo Brancato",8.5
9917,tt0108429,Udzinarta mze,The Sun of the Sleepless. The film is about a doctor named Gela Bendeliani (Elgudzha Burduli) and his wealthless family in Tbilisi in Soviet Georgia. In the film Gela Bendeliani has an unlimited capacity for generosity and forgiveness.,Temur Babluani,"Elguja Burduli, 
David Kazishvili, 
Lia Babluani, 
Eka Saatashvili",8.5
10001,tt12617878,Windfall,Marcus Crawsley is living a complacent day-to-day life at work and dealing with the same problems in his outside relationship - until he stumbles across two thousand dollars at work and has to deal with the man who it belongs to.,Mike Barkhoff,"Mike Barkhoff, 
Travis Barkhoff, 
Yung Bong, 
Dillon Bosler",8.5
10113,tt2450056,"Charlie, Trevor and a Girl Savannah",Charlie Trevor and a girl Savannah is a thought provoking action/thriller about reality verses the dream state. Trevor has been having nightmares about his girlfriend Savannah. He begins to...                See full summary »,Ty Hodges,"Ty Hodges, 
Eric Roberts, 
Toby Hemingway, 
Emily Meade",8.8
10121,tt0042888,The King of the Neighborhood,A small-time con artist gets more for what he bargained for when one of his would-be victims falls in love with him.,Gilberto Martínez Solares,"Germán Valdés, 
Silvia Pinal, 
Marcelo Chávez, 
Famie Kaufman",8.0
10215,tt8901514,Cyanide Mallika,"Inspired by the spine-chilling story of KD Kempamma alias Cyanide Mallika, India's first woman serial killer.",Guru Channappa,"Guru Channappa, 
Sanjana Prakash",8.5
10344,tt3034728,Left Right Left,"In this interlinked story, three men (an evil politician, an eccentric cop and a former revolutionist) develop different perspectives on life due to a childhood encounter with death.",Arun Kumar,"Murali Gopy, 
Indrajith Sukumaran, 
Hareesh Peradi, 
Lena",8.1
10370,tt11771732,Gutta Mamis: Money Bag Tales,"Two ride-or-die friends are in peril when a dead victim of their crime plot leads one of them to break the ""girl code"" and tell all to a shady boyfriend.",Arthur Muhammad,"Santosha Nicole, 
Porsha Hall, 
Sophia Knolton, 
Greg Fat Bastard Miller",8.0
10393,tt15208550,Michael Gang,Michael is the story of an orphan named Michael and his friends who started with nothing and became one of the most powerful people.,Kiran Mandapati,"C Chiranjeevi, 
Sekhar Gms, 
Mani Raaj, 
Maruthi Sakharam",8.7
10399,tt23459398,Dum Dum Dumeel,"A guy who is about to get engaged and eventually get married, goes to an island for a holiday with his friends only to be entangled in unfortunate events with a gang of robbers that will change his life decisions.",Deepban M. Vignesh,"Irfan Zaini, 
Kavitha Sinniah, 
James Devan Arokisamy, 
Vicran Elanggoven",9.2
10461,tt21283792,Topless Tori's Tomb of Terror,"An anthology tribute to late night horror host shows featuring shot-on-video short films from three independent filmmakers, as well as mock commercials, commentary tracks and more.","Tony Masiello, 
Joshua Coughlin, 
Dean Houlihan, 
Steven Haar, 
Gabriel Jewett","Steven Haar, 
Dean Houlihan, 
Richard Houlihan, 
Cody Tudor",9.1
10492,tt8520380,Dhuusar,"Dhuusar chronicles three distinct phases of Shiladitya's life as he finds himself in the whirlwind of unfavourable situations and his obsession to escape from them. A mother, a jailer, a ...                See full summary »","Snehashish Mondal, 
Soumi Saha","Arpita Banerjee, 
Ritwik Bhowmik, 
Subrat Dutta, 
Arya Mallick",8.9
10519,tt11448538,Olokiki Oru: The Midnight Sensation,"After the fall of the Oyo Empire and its becoming a British protectorate in 1888, two rival armed robbers strikes fear on several Yoruba towns in their fight for dominance, wealth and the heart of a fearless, beautiful Princess.","Seun Olaiya, 
Ayuba Sodunke","Lateef Adedimeji, 
Idowu Adenekan, 
Fatai Adetayo, 
Murphy Afolabi",8.9
10524,tt3997026,Boundary,A reluctant assassin must protect his pregnant wife after he becomes entangled in a rogue customs agent's drug ring.,Anthony Faust,"James Davenjay, 
George Katt, 
Juliana Aidén Martinez, 
Altorro Prince Black",8.7
10602,tt7850152,NINA,"In search of her father's murderer, Nina meets the aged ex-cop Rainer. Soon, the young loner and the failed family man fill a gap in each other's lives. But as Nina digs deeper into the ...                See full summary »",Marc Göbel,"Carl Achleitner, 
Susanne Berckhemer, 
Willi Bleidorn, 
Stefanie Dreyer",9.7
10629,tt1437367,Thanks Maa,A homeless petty thief attempts to find the biological mother of an abandoned baby.,Irfan Kamal,"Master Shams, 
Master Salman, 
Master Jaffer, 
Master Fayaaz",8.1
10636,tt5635522,The Other Penelope,An ex-combatant of the 1965 Dominican civil war is involved in a sentimental relationship that will force him to face the demons he is trying to flee from.,Bladimir Abud,"Shalim Ortiz, 
Francisco Gattorno, 
Anthony Alvarez, 
Pachy Méndez",8.9
10680,tt1792122,Out the Gate,"After a turn of unfortunate events in Jamaica, Everton leaves his home to make it big in the music business in America. Everything is not a bed of roses in Hollywood, but with struggles and...                See full summary »","Stevie Johnson, 
Qmillion","Paul Campbell, 
Oliver Samuels, 
Shelli Boone, 
Everton Dennis",8.0
10796,tt15081114,Shrink Wrapped,A veteran con-man pretends to be a therapist in order to make one last score before everything comes apart.,Bobby Mercer,"Aaron Stein, 
Casey Breneman, 
Ashlynn Brooks, 
Leah E Martin",9.0
