,id,title,description,director,cast,rating
3214,tt13181612,Tari Sathe,The story revolves between two youngsters who are at the age of getting married. The girl seeks to meet the boy with a wish of a denial. On the other end boy with positive mindset without revealing his original identity.,Rakesh Shah,"Jhinal Belani, 
Sejal Bhavsar, 
Vipul Chauhan, 
Nirav Darji",8.5
3253,tt11307462,Lucy ist jetzt Gangster,Reliable sources claim 10-year-old Lucy - actually a quiet and lovable primary school student - is about to rob a bank in the pedestrian zone of Bietigheim-Bissingen. Her motive is easy to ...                See full summary »,Till Endemann,"Kostja Ullmann, 
Franziska Wulf, 
Esther Schweins, 
Bettina Lamprecht",8.0
3271,tt11827282,Even in Dreams,"The movie stars Sam, 18, an aspiring musician that just lost her older sister Amber. During the difficult grieving process, Sam finds comfort in singing and songwriting - fulfilling the ...                See full summary »",Savannah Ostler,"Alison Arngrim, 
Adrian R'Mante, 
Monica Moore Smith, 
James Gaisford",8.8
3274,tt7155460,Muramba,"A seemingly perfect couple suddenly end their relationship, much to the chagrin of the parents, who try to speak to their children in their language.",Varun Narvekar,"Parth Burange, 
Sachin Khedekar, 
Mithila Palkar, 
Chinmayi Sumit",8.1
3335,tt0080856,The Kingdom of Diamonds,The musical duo of Goopi and Bagha make a comeback when they are invited to play for a king.,Satyajit Ray,"Tapan Chatterjee, 
Rabi Ghosh, 
Utpal Dutt, 
Soumitra Chatterjee",8.9
3453,tt0246986,Thiruvilayadal,"Lord Shiva goes through an adventurous ride and performs various antics to test the people on earth. Based on Paranjothi Munivar's epic ""Thiruvilayadal Puranam"".",A.P. Nagarajan,"Shivaji Ganesan, 
Savitri, 
K.B. Sundarambal, 
T.S. Balaiah",8.1
3465,tt8009306,Chalthe Chalthe,Chalte Chalte movie is a romantic action entertainer directed and music scored by Pradeep KK and while Srinivasa Rao Potluri produced this movie. Vishwadev .,K. Pradeep Kumar,"Priyanka Jain, 
Rajshri Nair, 
V.K. Naresh, 
Pragathi",8.4
3477,tt11343692,Titus: Mystery of the Enygma,"A mouse-detective with his rabbit and lizard friends in Steamburg. They will jointly expose the crime one of their biggest enemies, a cat named named Bulpan. Starting as a pickpocket, Bulpan works hard to become a very skilled criminal.",Dineshkumar Subashchandra,"Arbani Yasiz, 
Ranty Maria, 
Lukman Sardi, 
Robby Purba",8.0
3497,tt15347628,Kshanikam,An irreversible moment - A mother loses her son..P. A desperate trial of fostering - Even motherhood goes under threat. - Finally realises no one can be replaced.,Rajeev Rajendran,"Nandu, 
Ambootty, 
Jewel Mary, 
Rohit Nair",8.9
3576,tt0142632,Mattie the Goose-Boy,"A young peasant boy stands up to tyranny, aided by his trusting friend- a goose.",Attila Dargay,"András Kern, 
Péter Geszti, 
László Csákányi, 
Gábor Agárdi",8.2
3583,tt4658770,Belaseshe,"A story of relationships that explores the intricacies of the married life, of life-long companionship, of promises and expectations and love.","Shiboprosad Mukherjee, 
Nandita Roy","Soumitra Chatterjee, 
Swatilekha Sengupta, 
Rituparna Sengupta, 
Aparajita Adhya",8.5
3594,tt0146645,Dosti,"Mr. Gupta passes away after an accident while on duty, leaving behind his ailing wife and school-going son, Ramnath. Both await for some compensation, and when they are informed that the ...                See full summary »",Satyen Bose,"Sudhir Kumar, 
Sushil Kumar, 
Sanjay Khan, 
Farida Dadi",8.5
3604,tt14866992,Punashchha Hari Om,Punhashcha Hari Om is a story of a middle-class family who goes through many struggles and how their life changes during the lock-down of 2020,Vividh Korgaonkar,"Prathamesh Bhatkar, 
Devendra Gaikwad, 
Spruha Joshi, 
Vitthal Kale",9.0
3699,tt0456047,Bizim Aile,A love story between a poor man and a rich girl. The rich girl's father tries to prevent their marriage and he declares a war against the poor boy's family.,Ergin Orbey,"Münir Özkul, 
Adile Nasit, 
Tarik Akan, 
Itir Esen",8.4
3747,tt2400377,Kaksparsh,Uma loses her husband at a very young age and faces many hardships. The only support she gets is from her brother-in-law.,Mahesh Manjrekar,"Sachin Khedekar, 
Priya Bapat, 
Gauri Ingavale, 
Abhijit Kelkar",8.0
3758,tt0989831,Jibon Theke Neya,"A political satire of Bangladesh under the rule of Pakistan metaphorically, where an autocratic woman in one family symbolizes the political dictatorship of Ayub Khan in East Pakistan.",Zahir Raihan,"Abdur Razzak, 
Suchanda, 
Shaukat Akbar, 
Rosy Samad",9.3
3767,tt14717428,Forgiving God,"Jon Moore, orphaned at 9 and raised in an abusive foster system, learns about faith and forgiveness from a mysterious girl he meets while placed in a final foster home. He falls in love only to learn that she harbors a tragedy of her own.","Jason Campbell, 
Aaron Dunbar","Dean Cain, 
Heather Taddy, 
Katherine Elise Shaw, 
Joseph Moreland",8.4
3783,tt9581258,The Switch Up,"4 Orphan Kids from India, getting a chance of a lifetime to come to Los Angeles and live with a wealthy Man. What they didn't expect is that they would have to use their street smarts. A ...                See full summary »","Robbie Countryman, 
Maria Whatley","Chris Moss, 
Yauna Kamerin, 
Sarodj Bertin, 
Vincent M. Ward",9.4
3785,tt13522370,Baal Bhaarti,"The film revolves around Rahul Desai (Siddharth Ramchandra Jadhav) who lives with wife Sunita (Nandita Patkar), son Chinmay (Aaryan Menghji) and mother (Usha Naik) in Kolhapur. Both, Rahul ...                See full summary »",Nitin Nandan,"Nandita Dhuri, 
Vinay Hake, 
Siddarth Jadhav, 
Abhijeet Khandkekar",8.9
3802,tt8714776,The Haunted House: The Secret of the Cave,"Hari and Duri are a sister and brother living in the Shinbi apartment complex, which is more than a hundred years old. Living with them is a 102-year-old goblin named Shinbi.","Kim Byeong-gab, 
Jack Cox","Hyeon-Jeong Jo, 
Kim Chaeha, 
Kim Youngeun, 
Sin Yong-woo",8.1
3811,tt2966696,The Silent e,"The Silent e is an epic adventure of a letter 'e' who can't speak but must find his parents in the Times New Roman Empire. Led by the Evil 4, the Arial Race commences genocide on all Times ...                See full summary »",Christopher DeMaci,"Charles Anteby, 
Andrew Cappelletti, 
Curt Clendenin, 
Christopher DeMaci",9.5
3822,tt0069458,Veronica,"The movie "" Veronica "", a masterpiece of Romanian cinema in 1973 with actors like Dem Radulescu, Lulu Mihaescu and Margareta Paslaru is today a charming film for children. In a magical ...                See full summary »",Elisabeta Bostan,"Lulu Mihaescu, 
Margareta Pîslaru, 
Dem Radulescu, 
Vasilica Tastaman",8.0
3848,tt0150417,Dulhan Wahi Jo Piya Man Bhaaye,"Wealthy businessman, Harkishan, lives in a palatial house, with his womanizing and alcoholic grandson, Prem. He would like Prem to get married, settle down, and look after the business, but...                See full summary »",Lekh Tandon,"Rameshwari, 
Premkrishen Malhotra, 
Madan Puri, 
Shyamali",8.1
3851,tt15516780,Made in China,"Amidst the chaos of the pandemic, Abhiram, trapped in China and Mythili, missing Abhiram's presence with a baby in her womb in India. A trivial mistake puts Abhiram in an experience of 14 years exile. How he fights back is the narrative.",Preetham Tegginamane,"Aruna Balaraj, 
Ravi Bhat, 
Nagabhushana, 
Nagabhushanam",8.9
3889,tt0287300,Aile Serefi,The life of a poor but happy crowded family is put to a great test when the rich and spoiled Oktay enters their lives.,Orhan Aksoy,"Münir Özkul, 
Adile Nasit, 
Itir Esen, 
Mahmut Cevher",8.0
3895,tt2742164,Mithunam,An elderly couple live by themselves while their children are settled abroad; they take each day as special and enjoy their life.,Tanikella Bharani,"S.P. Balasubrahmanyam, 
Lakshmi, 
Balasubramanyam",8.1
3897,tt6137978,A Fairy's Game,Two siblings are whisked away by an intelligent fairy to become part of a real life game they must complete before coming back to the real world.,Shawn Philip Nelson,"Jerry Bell Jr., 
Bruce Davison, 
Angela DiMarco, 
Zamira Dotson",8.1
3908,tt9094846,Dancing in the Rain,"An autism spectrum boy starts a beautiful friendship with each other. When they all grew up, a tragic event occurs, putting their friendship on the edge of destruction.",Rudi Aryanto,"Dimas Anggara, 
Bunga Zainal, 
Deva Mahenra, 
Christine Hakim",8.2
3968,tt5136154,Easter Mysteries,An Oratorio Musical directed by Daniel Goldstein (2011 Broadway revival of Godspell) that features a culturally diverse cast of talented Broadway veterans who have graced the stages of Les ...                See full summary »,Daniel Goldstein,"Wallace Smith, 
Erin Davie, 
Kevin Earley, 
Sumayya Ali",8.2
3983,tt21874884,Etham,"'Etham' a colorful campus love story.Releted to Drama, Romance and Family.",Praveen Chandran Moodadi,"Prakash Bare, 
Harith Cnv, 
Vaibhav Gohil, 
Srikanth Mohan",9.7
4016,tt7549006,Hope for the Holidays,"One man's love for his dying mother leads him to commit the biggest mistake of his life. Now, with the help of his newfound faith and a Christmas miracle, he seeks redemption on Christmas Day.",Ricky Borba,"Sally Kirkland, 
Doug Hutchison, 
Robert LaSardo, 
Todd Bridges",8.2
4083,tt0043908,Pathala Bhairavi,"A poor man, in love with a princess, is persuaded by an evil sorcerer to help him get the blessing of a Goddess.",Kadiri Venkata Reddy,"N.T. Rama Rao, 
S.V. Ranga Rao, 
Malathi K., 
Seeta Rama Anjaneyulu Chilakalapudi",8.5
4109,tt4877410,Wig'd Out,"Hair flies in the life of teenage Olivia who is totally bald due alopecia, when she works in the hair salon that is owned by her ex-beauty queen mom.",Kate Chaplin,"Georgia Simmons, 
Cindy Maples, 
Sabrina Duprey, 
Tera Smith",9.1
4114,tt14006298,Soy Luna: The Last Concert,"The last show. The last performance. The last meeting with the fans. Farewell to the cast of ""Soy Luna"" live, at the mythical Luna Park stadium in Buenos Aires.",Carolina María García Fernández,"Karol Sevilla, 
Ruggero Pasquarelli, 
Valentina Zenere, 
Michael Ronda",9.0
4194,tt23135286,Mahapurush,A widowed father of two sons finds love at an old age and struggles as a society and his own sons disapprove of it.,Pradeep Bhattarai,"Hari Bansha Acharya, 
Rabindra Singh Baniya, 
Anjana Baraili, 
Arun Chhetri",8.7
4215,tt0289967,Gülen Gözler,Yasar and his wife Nezaket have kept on producing children in the hope of finally getting a male child. But they end up with only daughters instead (who they give masculine names). Now they...                See full summary »,Ertem Egilmez,"Münir Özkul, 
Adile Nasit, 
Halit Akçatepe, 
Müjde Ar",8.5
4218,tt21326322,Okedoeibedankt,"Two deaf girls go on a roadtrip to Paris, to look for the ill granny of one of them.",Nicole van Kilsdonk,"Mae van de Loo, 
Douae Zine El Abidine, 
Josephine Koning, 
Arjan Bouwmeester",8.2
4222,tt3126902,Chasing Yesterday,"A washed up twenty something year old, who was once the hometown hero and track star, is convinced by a local sweetheart to run a marathon and get his life back on track.",Joseph Pernice,"Eric Nelsen, 
Courtney Baxter, 
Josh Flitter, 
David A. Gregory",8.4
4246,tt9042450,Pandharichi Vari,Anna devotes most of his time towards God and considers it as a priority above anything.While his wife Akka has given up on him.Anna is also a respected person in village and wants the ...                See full summary »,Ramakant Kavthekar,"Jayshree Gadkar, 
Bal Dhuri, 
Raja Gosavi, 
Raghavendra Kadkol",8.5
4309,tt6354856,Ankhi O Tar Bondhura,The film tells the story of a visually challenged girl and her friends who support her to express & enhance her talents and their adventure,Morshedul Islam,"Zahin Nawar Haque, 
Ananya Samael, 
Saberi Alam, 
Syed Ashiquzzaman",8.4
4345,tt11461028,Talash,"Talash tells the story of three close friends - Saleem, Tania and Khurrum - who have recently graduated as medical doctors and are instructed to setting up a medical camp in rural ...                See full summary »",Zeekay,"Ahmed Zeb, 
Fariya Hassan, 
Noaman Sami, 
Wafa Abrar",8.0
4353,tt2391492,Balak Palak,Helps parents to realize how important it is to communicate transparently with your child.,Ravi Jadhav,"Shashwati Pimplikar, 
Madan Deodhar, 
Bhagyashree Milind, 
Rohit Phalke",8.1
4355,tt14143294,Adventure of Sundarbans,"A group of children from the ""Children's Film Society"" embark on a journey to the mangroves of Sundarbans in Bangladesh. The children are accompanied by renowned poets, writers, and ...                See full summary »",Abu Raihan Mohammad Jewel,"Siam Ahmed, 
Russell Farazi, 
Atikur Rahman Himel, 
Azad Abul Kalam",8.2
4396,tt0206877,Lava Kusa,This movie deals with the later part of Ramayana written by Valmiki Maharshi and depicts the lives of the sons of Rama & Sita.,"Rao C.S.R., 
Chittajalu Pullayya","N.T. Rama Rao, 
Anjali Devi, 
Chittor V. Nagaiah, 
Kanta Rao",8.2
4399,tt0780061,Redhat and Cousin,A boy travels a long way from his village to Tehran to work as a showman in a kid's show; but finds it harder than he thought.,Iraj Tahmasb,"Morteza Ahmadi, 
Akbar Doodkar, 
Farokhlagha Hushmand, 
Hamid Jebeli",8.1
4426,tt20251896,Kahani Rubberband Ki,"Kahani Rubberband Ki is a Hindi-language feature film produced and directed by Sarika Sanjot featuring Avika Gor, Pratik Gandhi, and Manish Raisinghan in lead roles.",Sarika Sanjot,"Manish Raisinghan, 
Avika Gor, 
Pratik Gandhi, 
Gaurav Gera",8.1
4491,tt14022026,Aa Bhi Ja O Piya,"Kaushal owns his own nursery in Jharkhand village meets Kalpana, a city girl belonging to an army family is on a research tour. Feelings develop between them but circumstances force them to rethink if they are actually made for each other.",Rajesh Harivansh Mishra,"Sanjeeb Dasgupta, 
Pooja Ghosh, 
Richa Kalra, 
Smriti Kashyap",8.4
4517,tt2475886,Twice,"A mystery girl arrives in a small town in Brattleboro Vermont and creates a new life for herself while her past remains unknown. She gets a job at Twice Upon a Time, a used merchandise ...                See full summary »",Robert Fritz,"Indra Tracy, 
James Argiro, 
Paul Beebe, 
Chris Cotton",8.2
4562,tt0333215,Carobnjakov sesir,"Thistle the magician and his forest friends (from _The Elm Chanted Forest (1986)_) take on an ice emperor, Mrazomor, and his horde.",Milan Blazekovic,"Dragan Milivojevic, 
Ivo Rogulja, 
Emil Glad, 
Nada Rocco",8.4
4614,tt0155408,Zara Si Zindagi,"Remake of Balachander's Tamil hit Varumayin Niram Sivappu, Kamal Haasan reprises his role as Raja, a graduate looking for work in capital, sharing a small home with two other unemployed ...                See full summary »",K. Balachander,"Kamal Haasan, 
Anita Raj, 
Arjun Chakraborty, 
Nilu Phule",8.2
4620,tt0249615,Janani Janmabhoomi,"Ramesh, a rich irresponsible man, travels to America and returns back a changed man with immense love for his country. But he faces several challenges as he sets out to reform the society.",K. Viswanath,"Nandamuri Balakrishna, 
Rajyalakshmi, 
Sakshi Ranga Rao, 
Kaikala Satyanarayana",8.2
4642,tt11106572,Speechless,"Jonah suffers from an anxiety disorder which causes him not to speak. But when his grandfather Chuck shows up at his own funeral reception, things begin to take an interesting turn and ...                See full summary »",Scott Brignac,"Kyle Anthony, 
Aaron Benward, 
Becca Bivens, 
Isaac Blake",8.5
4675,tt0275335,Esok Untuk Siapa,"Milah marries Jiman, the eldest son of the richest man in her village after her initial match make to his youngest son, Ehsan, falls through. Heart broken and unable to refuse the marriage ...                See full summary »",Jins Shamsuddin,"Jins Shamsuddin, 
Noor Kumalasari, 
Fauziah Ahmad Daud, 
Latif Ibrahim",8.5
4678,tt16983140,Mridha Bonam Mridha,"Explores the psychological conflict between a father and his son, the two Mridhas.",Roni Bhowmik,"Siam Ahmed, 
Nova Firoze, 
Amjad Hossen, 
Tariq Anam Khan",8.1
4693,tt24331406,We2,"WE2 is a story of Roshan and Reva, an urban couple in their forties. Reva is asking for a divorce after a marriage of 10 years, but Roshan wants to know the reason as both are in love. Roshan decides to win her back by loving her more.",Bunty Deshpande,"Bageshree Deshpande, 
Gaurav Hirekan, 
Leena Nandi, 
Sohan Nandurdikar",8.8
4718,tt0014733,A Boy of Flanders,"Nello saves the life of a dog but returns home to find his grandfather dead. Living under a haystack, he enters a drawing contest and wins the prize and the affections of a fellow artist, who adopts him.",Victor Schertzinger,"Jackie Coogan, 
Nigel De Brulier, 
Lionel Belmore, 
Nell Craig",8.4
4719,tt0804526,The Rose of Sharon,"Mina Sohn is a Christian, Korean woman living in Los Angeles. She runs a flower shop for a living and ministers to those around as her calling. When a young, Jewish lawyer shows up in need ...                See full summary »",Elliott Hong,"Annie Lee, 
Paul Galliano, 
Sun Ja Choi, 
Ed Flanagan",8.1
4729,tt0332081,Gimik: The Reunion,"A year after college, seven friends get together to take a memory down the lane and attempt to relive the past filled with challenges, victories and problems.",Laurenti M. Dyogi,"Judy Ann Santos, 
Rico Yan, 
Jolina Magdangal, 
Marvin Agustin",8.2
4733,tt9313004,Coat,"This story is about a small village boy Madho, simple yet a big dreamer. He and his father are pig farmers, which holds the least respect in their village. In this era of fast-growing ...                See full summary »","Akshay Ditti, 
Kumar Abhishek","Sanjay Mishra, 
Sonal Jha, 
Vivaan Shah, 
Pooja Pandey",9.3
4768,tt4203824,Elizabeth Ekadashi,"Dnyanesh and Mukta are siblings who with their mother and grandmother live in the pilgrim town of Pandharpur, Maharashtra. The title's eponymous 'Elizabeth' is a bicycle that is gifted to ...                See full summary »",Paresh Mokashi,"Chaitanya Badve, 
Durgesh Badve-Mahajan, 
Sayali Bandakavathekar, 
Nandita Dhuri",8.3
4799,tt4198654,Aria Appleton,Aria Appleton is a talented 11 year old girl who will will do anything to achieve stardom - even conspire to cheat her best friend out of the lead role in the school musical. When Aria's ...                See full summary »,Nathan D. Myers,"Sara Grace Prejean, 
Christine Galyean, 
Sarah Hughes, 
Nathan D. Myers",8.8
4812,tt8176602,Redu,"REDU is a story of TATU and his family, set in the mid 1970's. Tatu, a short tempered, irate middle-aged man living in a small village, is fascinated and curious to see a radio, a small ...                See full summary »",Sagar Vanjari,"Shashank Shende, 
Chhaya Kadam, 
Vinamra Babhal, 
Gouri Konge",8.3
4855,tt3590482,Bey Yaar,"In the desperation to earn quick money, two best friends put their moral values at stake and end up losing their pride and dignity. They then choose a wrong path to set things right and snatch back what was rightfully theirs.",Abhishek Jain,"Darshan Jariwala, 
Manoj Joshi, 
Aarti Patel, 
Amit Mistry",8.5
4857,tt0173504,Zonja nga qyteti,It is a comedy about an old albanian lady and her daughter who move from the city to a village. Her daughter falls in love while she is there but her mother (Ollga) will try everything to marry her with a man who comes from the city.,Piro Milkani,"Violeta Manushi, 
Raimonda Bulku, 
Stavri Shkurti, 
Pandi Raidhi",8.3
4882,tt0491138,Schooled,An earthy character study about a teacher in crisis who discovers an alternative school that teaches him to connect with kids as people.,Brooks Elms,"Daniel Kucan, 
Alysia Reiner, 
Vladimir Borges, 
Kelleia Sheerin",8.3
4913,tt3438252,Apur Panchali,"This is a real life story inspired by Subir Banerjee,the little child actor who played the iconic role of Apu in Pather Panchali.",Kaushik Ganguly,"Parambrata Chattopadhyay, 
Parno Mittra, 
Ardhendu Banerjee, 
Gaurav Chakrabarty",8.2
4940,tt10209956,Welcome Home,"Unable to find meaning in the relationship with her husband, Saudamini decides to move on in life. What follows is her struggle to come to terms with the decision.","Sumitra Bhave, 
Sunil Sukthankar","Mrinal Kulkarni, 
Sumeet Raghavan, 
Spruha Joshi, 
Mohan Agashe",8.0
4954,tt0154154,Anthuleni Katha,The story of an elder sister trying to run a family devoid of father and a useless brother.,K. Balachander,"Jaya Prada, 
Jayalakshmi, 
Rajinikanth, 
Sripriya",8.2
4965,tt11804030,Sweety Satarkar,A loud and daring woman falls in love with a bold man and attempts to win his heart by trying everything in the book to attract him.,Shabbir Naik,"Sangram Samel, 
Vinamra Babhal, 
Amruta Deshmukh, 
Gauri Jadhav",8.2
4994,tt0266727,Little Soldiers,"Two ill-behaved children are orphaned in an accident and are forced to live with their estranged grandfather, a hard-boiled veteran. Their relationship is strained at first, but over time they warm up to each other.",Gunnam Gangaraju,"Kavya, 
Aditya Y.S., 
Sudhakar, 
Giri Babu",8.0
5088,tt0312933,Maalaala mo kaya: The Movie,"Lacking opportunities in her own country, Marissa (Chinchin Gutierrez) decides to work overseas. She then decides to leave her son, BJ (Karl Angelo Legaspi), with her best friend, Ana (Aiko...                See full summary »",Olivia M. Lamasan,"Richard Gomez, 
Aiko Melendez, 
Chin Chin Gutierrez, 
Caridad Sanchez",8.3
5092,tt2365873,Kevi Rite Jaish,"The Patels, members of the Gujarati farming community, are obsessed with migrating to the United States to buy a motel.",Abhishek Jain,"Tom Alter, 
Abhinay Banker, 
Raju Barot, 
Rakesh Bedi",8.0
5148,tt5908764,Carry on Kesar,Story of a couple in their 50s who have lost all hopes of becoming parents are inspired well sort of forced by a 20some youngster to become parents. This child in this 20some girl teaches a...                See full summary »,Vipul Mehta,"Bhaskar Bhojak, 
Darshan Jariwala, 
Olamilekan Akanbi Jason, 
Rittesh Mobh",9.1
5186,tt7986162,Pluft,"A little kid-ghost called Pluft lives with his ghost-mother and ghost-uncle, in a remote house in a desert island. He doesn't even believe people real exist. His world will be thrown upside...                See full summary »",Rosane Svartman,"Nicolas Cruz, 
Juliano Cazarré, 
Lola Belli, 
Arthur Aguiar",8.3
5208,tt26294268,MeippadaSei,"Four ignorant boys were surviving their life with the support of parents in Tanjore village, one of them (Muthupandi) falling in love, thereby, opposition occurring, cause of lower and upper casting and racism,",Velan D.S.W.D.F.D,"Tamil Selvam Rajamohan, 
Aadhav Balaji, 
Madhunika Rajalakashmi, 
O.A.K. Sunder",9.7
5239,tt4077382,Ibong Adarna: The Pinoy Adventure,A young man sets out on a dangerous quest for a magical bird with the power to heal any ailment.,Jun Urbano,"Rocco Nacino, 
Joel Torre, 
Angel Aquino, 
Leo Martinez",8.1
5244,tt7637580,5 Samath,Samath's humble and patient demeanour is also highlighted in the movie and contrasts vehemently with the sense of entitlement we see in children educated in major cities. His innate desire ...                See full summary »,Jayaprakash Sivagurunadan,"Upathissa Balasooriya, 
Sarath Chandrasiri, 
Sharad Chanduma, 
Dayadewa Edirisinghe",8.0
5250,tt0155543,Bhakta Kannappa,"The stroy of the famous Siva devotee, Kanappa.",Bapu,"Krishnamraju, 
Vanisri, 
Balaiah M., 
Raogopalrao",8.4
5258,tt0061904,The Legend of the Boy and the Eagle,"This movie is about a young Hopi Indian boy who defies tribal law and frees a sacred, sacrificial eagle. He is banished from his village to the wilderness, but the eagle teaches him hunting...                See full summary »",Jack Couffer,"Frank DeKova, 
Stanford Lomakema",8.4
5329,tt12089546,Safaibaaz - The Scavenger,"Safaibaaz: The Scavenger is a Hindi movie released on 2 Oct, 2021. The movie is directed by Avneesh Singh and featured Rajpal Yadav, Johnny Lever, Upasna Singh and Omkar Das Manikpuri, Anupam Shyam, Manoj Pandit as lead characters.",Avneesh Singh,"Rajpal Naurang Yadav, 
Ashish Awana, 
Ritu Singh, 
Manoj Pandit",9.0
5367,tt9855510,Oildale,Homeless veterans find family as they rent rooms from an eighteen-year-old girl struggling to support her thirteen-year-old brother while discovering her voice in Americana music.,"David Mueller, 
Lynn Salt","Jessica Castello, 
Cyrus Zoghi, 
Caleb Brown, 
Jerry Rector",8.3
5374,tt22773492,Nerazumevalica (Understandinglessness),"In ancient times, the country was ruled by Mudrozica - the Sorceress of the country. She equally divided her's powers among the inhabitants of six different Unions: the Uraganopolci, the ...                See full summary »",Aleksa Maksimovic,"Sofija Brankovic, 
Dusan Drazeta, 
Marko Milicevic, 
Djordje Mirkovic",9.9
5377,tt1935109,Dipu Number 2,An adventure story for young boys.,Morshedul Islam,"Arun Saha, 
Shubashish, 
Bulbul Ahmed, 
Bobita",8.9
5420,tt3529404,Mumfie's Quest: The Movie,"From Britt Allcroft, creator of Thomas & Friends, comes Mumfie's Quest. Discover how Mumfie the special elephant first meets his friends Scarecrow, Pinkey, Whale and many more. Share the ...                See full summary »",Britt Allcroft,"Britt Allcroft, 
Patrick Breen",8.1
5448,tt0057841,Memories of My Childhood,"Based on Ion Creanga's book, the story of a child from his childhood to his manhood.",Elisabeta Bostan,"Stefan Ciubotarasu, 
Ion Bocancea, 
Corina Constantinescu, 
Emanoil Petrut",8.1
5461,tt15722634,Thimayya & Thimayya,The film revolves around an affluent family with roots in Madikeri.,Sanjay Sharma,"Anant Nag, 
Diganth, 
Vineeth Kumar, 
Prakash Thuminad",8.7
5541,tt0080323,Abang,The oldest son and heir apparent to a wealthy Kuala Lumpur family returns home after his sudden departure to London a decade ago. His family struggle with their emotions about his return ...                See full summary »,Rahim Razali,"Ahmad Yatim, 
Fauziah Ahmad Daud, 
Ummi Kalthoum, 
Noor Kumalasari",8.4
5548,tt0071101,Actorul si salbaticii,"The director of a famous theater in 1930s Bucharest and his Jewish dramatist are preparing a show designed to satirize the fascist (legionnaire) movement, but the legionnaires are determined to stop the spectacle by any means.",Manole Marcus,"Toma Caragiu, 
Mircea Albulescu, 
Margareta Pogonat, 
Ion Besoiu",8.7
5562,tt2206844,Dearly Departed,"Dearly Departed is a fictional documentary, shot as though the camera was taken into the spirit world to conduct documentary-style interviews with the spirits of dead people to get their insights on life after death.",Darryl Anka,"Derek Partridge, 
Deborah Stewart, 
Patrice Fisher, 
Henry Wyatt Moore",8.3
5575,tt1772303,Mala Aai Vhhaychy!,"Mary visits India looking for a surrogate mother. She finds Yashoda to bear her child, but gets disappointed on learning about the child's deformity. Will Mary accept the child?",Samruoddhi Porey,"Urmilla Kanetkar Kothare, 
Stacy Bee, 
Samruoddhi Porey, 
Vivek Raut",8.1
5580,tt0249351,Ananda Bhairavi,"A dance teacher runs into trouble when he protests against society, which doesn't allow girls to perform Kuchipudi.",Jandhyala,"Girish Karnad, 
Malavika Sarkar, 
Rajesh Kumar, 
Ramana Murthi J.V.",8.1
5603,tt16077772,Dramebaaj,"A shy and modest struggling theatre actor from an affluent family suffers from MPD. As his different personalities come into play, his life goes topsy turvy, creating comical situations and changing his status quo with everyone around.","Gunveen Kaur, 
Robin Sikarwar","Kalpana Gagdekar, 
Sinhali Vala, 
Gaurang Anand, 
Chetan Daiya",8.8
5663,tt19636284,Varnapatala,"Nitya passes through many hurdles to identify inherent potential in Myna, her non verbal child with autism. She longs to hear a precious word which every mother wishes to . Will she ever be...                See full summary »",Chethan Mundadi,"Suresh Heblikar, 
Vila Itla, 
Mani, 
Arjun Nagarkar",9.0
5672,tt0067863,Toklat,"A poor old mountain man returns to the wild Oregon countryside to find a grizzly bear he named Toklat. He recalls his old days with the bear, from rescuing him as a cub to teaching him how ...                See full summary »",Robert W. Davison,"Leon Ames, 
Dick Robinson, 
Joel S. Howes",8.1
5682,tt4242438,Saheb,"Saheb a jovial, friendly, and kindhearted boy loved to play football. He was very much neglected by his brothers. Only his sister-in-law and his only sister Bulti appreciated and took care ...                See full summary »",Bijoy Bose,"Madhavi Mukherjee, 
Mahua Roy Chowdhury, 
Tapas Pal, 
Shriman Ananda",8.5
5689,tt0478328,The Wishing Stone,A poignant and inspirational story that tests the power of will and perseverance of a young friendship in tumultuous times.,Jose H. Garofalo,"Rod Ball, 
Sharon Cline, 
Louis De La Costa, 
Brandon Dupree",8.8
5782,tt0075421,A Whale of a Tale,Young Joey wants to be an animal trainer so badly that he sneaks into off-limits areas of Marineland.,Ewing Miles Brown,"William Shatner, 
Marty Allen, 
Abby Dalton, 
Scott C. Kolden",8.3
5790,tt3651028,Yellow,The story explores a mother daughter relationship and behavior of a child with Down's Syndrome.,Mahesh Limaye,"Gauri Gadgil, 
Mrinal Kulkarni, 
Hrishikesh Joshi, 
Upendra Limaye",8.6
5798,tt22325714,Arjuna Sanyasi,"Arjuna is a newly married rickshaw driver, hails from a lower middle-class family, and lives with his parents. He tries to enjoy the perks of being married but miserably failed due to his family circumstances of living in a small house.",Eshwar Polanki,"C C Rao, 
Soundarya Gowda, 
Nagendra Sha, 
Suraj Comedy Khiladi",9.2
5808,tt9336434,Más Allá de la Herencia,"Lolo and Gaby have nothing in common. However, they become involved in the dispute over a controversial inheritance: a beautiful yacht. But together they will face a common enemy: The Great Garbage Patch.",Alejandro González Padilla,"Dulce María, 
Carmen Aub, 
Mario Morán, 
Gaby Mellado",8.1
5842,tt3133538,Pitruroon,"In today's urban Indian lifestyle where more relationships seem idealistic and flawless, an archaeologist encounters his look alike and the disturbing past of the look alike's aging mother ...                See full summary »",Nitish Bharadwaj,"Poorvi Bhave, 
Suhas Joshi, 
Sachin Khedekar, 
Omkar Kulkarni",8.2
