,id,title,tags
39,tt15339456,Marcel the Shell with Shoes On,"['Feature', 'adaptation', 'of', 'the', 'animated', 'short', 'film', 'interviewing', 'a', 'mollusk', 'named', 'Marcel.', 'JennySlate', 'DeanFleischerCamp', 'IsabellaRossellini', 'JoeGabler', 'DeanFleischerCamp']"
40,tt8097030,Turning Red,"['A', '13-year-old', 'girl', 'named', 'Meilin', 'turns', 'into', 'a', 'giant', 'red', 'panda', 'whenever', 'she', 'gets', 'too', 'excited.', 'RosalieChiang', 'SandraOh', 'AvaMorse', 'HyeinPark', 'DomeeShi']"
41,tt0382932,Ratatouille,"['A', 'rat', 'who', 'can', 'cook', 'makes', 'an', 'unusual', 'alliance', 'with', 'a', 'young', 'kitchen', 'worker', 'at', 'a', 'famous', 'Paris', 'restaurant.', 'BradGarrett', 'LouRomano', 'PattonOswalt', 'IanHolm', 'BradBird', 'JanPinkava']"
42,tt2294629,Frozen,"['When', 'the', 'newly', 'crowned', 'Queen', 'Elsa', 'accidentally', 'uses', 'her', 'power', 'to', 'turn', 'things', 'into', 'ice', 'to', 'curse', 'her', 'home', 'in', 'infinite', 'winter,', 'her', 'sister', 'Anna', 'teams', 'up', 'with', 'a', 'mountain', 'man,', 'his', 'playful', 'reindeer,', 'and', 'a', 'snowman', 'to', 'change', 'the', 'weather', 'condition.', 'KristenBell', 'IdinaMenzel', 'JonathanGroff', 'JoshGad', 'ChrisBuck', 'JenniferLee']"
45,tt2948356,Zootopia,"['In', 'a', 'city', 'of', 'anthropomorphic', 'animals,', 'a', 'rookie', 'bunny', 'cop', 'and', 'a', 'cynical', 'con', 'artist', 'fox', 'must', 'work', 'together', 'to', 'uncover', 'a', 'conspiracy.', 'GinniferGoodwin', 'JasonBateman', 'IdrisElba', 'JennySlate', 'ByronHoward', 'RichMoore', 'JaredBush']"
48,tt3470600,Sing,"['In', 'a', 'city', 'of', 'humanoid', 'animals,', 'a', 'hustling', 'theater', ""impresario's"", 'attempt', 'to', 'save', 'his', 'theater', 'with', 'a', 'singing', 'competition', 'becomes', 'grander', 'than', 'he', 'anticipates', 'even', 'as', 'its', 'finalists', 'find', 'that', 'their', 'lives', 'will', 'never', 'be', 'the', 'same.', 'MatthewMcConaughey', 'ReeseWitherspoon', 'SethMacFarlane', 'ScarlettJohansson', 'GarthJennings', 'ChristopheLourdelet']"
49,tt0114709,Toy Story,"['A', 'cowboy', 'doll', 'is', 'profoundly', 'threatened', 'and', 'jealous', 'when', 'a', 'new', 'spaceman', 'action', 'figure', 'supplants', 'him', 'as', 'top', 'toy', 'in', 'a', ""boy's"", 'bedroom.', 'TomHanks', 'TimAllen', 'DonRickles', 'JimVarney', 'JohnLasseter']"
50,tt2096673,Inside Out,"['After', 'young', 'Riley', 'is', 'uprooted', 'from', 'her', 'Midwest', 'life', 'and', 'moved', 'to', 'San', 'Francisco,', 'her', 'emotions', '-', 'Joy,', 'Fear,', 'Anger,', 'Disgust', 'and', 'Sadness', '-', 'conflict', 'on', 'how', 'best', 'to', 'navigate', 'a', 'new', 'city,', 'house,', 'and', 'school.', 'AmyPoehler', 'BillHader', 'LewisBlack', 'MindyKaling', 'PeteDocter', 'RonnieDelCarmen']"
51,tt2771200,Beauty and the Beast,"['A', 'selfish', 'Prince', 'is', 'cursed', 'to', 'become', 'a', 'monster', 'for', 'the', 'rest', 'of', 'his', 'life,', 'unless', 'he', 'learns', 'to', 'fall', 'in', 'love', 'with', 'a', 'beautiful', 'young', 'woman', 'he', 'keeps', 'prisoner.', 'EmmaWatson', 'DanStevens', 'LukeEvans', 'JoshGad', 'BillCondon']"
52,tt0099785,Home Alone,"['An', 'eight-year-old', 'troublemaker,', 'mistakenly', 'left', 'home', 'alone,', 'must', 'defend', 'his', 'home', 'against', 'a', 'pair', 'of', 'burglars', 'on', 'Christmas', 'eve.', 'MacaulayCulkin', 'JoePesci', 'DanielStern', 'JohnHeard', 'ChrisColumbus']"
