,id,title,tags
44,tt2278388,The Grand Budapest Hotel,"['A', 'writer', 'encounters', 'the', 'owner', 'of', 'an', 'aging', 'high-class', 'hotel,', 'who', 'tells', 'him', 'of', 'his', 'early', 'years', 'serving', 'as', 'a', 'lobby', 'boy', 'in', 'the', ""hotel's"", 'glorious', 'years', 'under', 'an', 'exceptional', 'concierge.', 'RalphFiennes', 'F.MurrayAbraham', 'MathieuAmalric', 'AdrienBrody', 'WesAnderson']"
46,tt0120689,The Green Mile,"['The', 'lives', 'of', 'guards', 'on', 'Death', 'Row', 'are', 'affected', 'by', 'one', 'of', 'their', 'charges:', 'a', 'black', 'man', 'accused', 'of', 'child', 'murder', 'and', 'rape,', 'yet', 'who', 'has', 'a', 'mysterious', 'gift.', 'TomHanks', 'MichaelClarkeDuncan', 'DavidMorse', 'BonnieHunt', 'FrankDarabont']"
48,tt5027774,"Three Billboards Outside Ebbing, Missouri","['A', 'mother', 'personally', 'challenges', 'the', 'local', 'authorities', 'to', 'solve', 'her', ""daughter's"", 'murder', 'when', 'they', 'fail', 'to', 'catch', 'the', 'culprit.', 'FrancesMcDormand', 'WoodyHarrelson', 'SamRockwell', 'CalebLandryJones', 'MartinMcDonagh']"
49,tt0071562,The Godfather Part II,"['The', 'early', 'life', 'and', 'career', 'of', 'Vito', 'Corleone', 'in', '1920s', 'New', 'York', 'City', 'is', 'portrayed,', 'while', 'his', 'son,', 'Michael,', 'expands', 'and', 'tightens', 'his', 'grip', 'on', 'the', 'family', 'crime', 'syndicate.', 'AlPacino', 'RobertDeNiro', 'RobertDuvall', 'DianeKeaton', 'FrancisFordCoppola']"
50,tt0290673,Irreversible,"['Events', 'over', 'the', 'course', 'of', 'one', 'traumatic', 'night', 'in', 'Paris', 'unfold', 'in', 'reverse-chronological', 'order', 'as', 'the', 'beautiful', 'Alex', 'is', 'brutally', 'raped', 'and', 'beaten', 'by', 'a', 'stranger', 'in', 'an', 'underpass', 'tunnel.', 'MonicaBellucci', 'VincentCassel', 'AlbertDupontel', 'PhilippeNahon', 'GasparNoé']"
52,tt0110413,Léon: The Professional,"['12-year-old', 'Mathilda', 'is', 'reluctantly', 'taken', 'in', 'by', 'Léon,', 'a', 'professional', 'assassin,', 'after', 'her', 'family', 'is', 'murdered.', 'An', 'unusual', 'relationship', 'forms', 'as', 'she', 'becomes', 'his', 'protégée', 'and', 'learns', 'the', ""assassin's"", 'trade.', 'JeanReno', 'GaryOldman', 'NataliePortman', 'DannyAiello', 'LucBesson']"
54,tt12573454,Sharper,"['A', 'con', 'artist', 'takes', 'on', ""Manhattan's"", 'billionaires.', 'JusticeSmith', 'BrianaMiddleton', 'SebastianStan', 'HannahDunne', 'BenjaminCaron']"
56,tt0050083,12 Angry Men,"['The', 'jury', 'in', 'a', 'New', 'York', 'City', 'murder', 'trial', 'is', 'frustrated', 'by', 'a', 'single', 'member', 'whose', 'skeptical', 'caution', 'forces', 'them', 'to', 'more', 'carefully', 'consider', 'the', 'evidence', 'before', 'jumping', 'to', 'a', 'hasty', 'verdict.', 'HenryFonda', 'LeeJ.Cobb', 'MartinBalsam', 'JohnFiedler', 'SidneyLumet']"
57,tt3397884,Sicario,"['An', 'idealistic', 'FBI', 'agent', 'is', 'enlisted', 'by', 'a', 'government', 'task', 'force', 'to', 'aid', 'in', 'the', 'escalating', 'war', 'against', 'drugs', 'at', 'the', 'border', 'area', 'between', 'the', 'U.S.', 'and', 'Mexico.', 'EmilyBlunt', 'JoshBrolin', 'BenicioDelToro', 'JonBernthal', 'DenisVilleneuve']"
59,tt0086250,Scarface,"['In', '1980', 'Miami,', 'a', 'determined', 'Cuban', 'immigrant', 'takes', 'over', 'a', 'drug', 'cartel', 'and', 'succumbs', 'to', 'greed.', 'AlPacino', 'MichellePfeiffer', 'StevenBauer', 'MaryElizabethMastrantonio', 'BrianDePalma']"
60,tt0066921,A Clockwork Orange,"['In', 'the', 'future,', 'a', 'sadistic', 'gang', 'leader', 'is', 'imprisoned', 'and', 'volunteers', 'for', 'a', 'conduct-aversion', 'experiment,', 'but', 'it', ""doesn't"", 'go', 'as', 'planned.', 'MalcolmMcDowell', 'PatrickMagee', 'MichaelBates', 'WarrenClarke', 'StanleyKubrick']"
61,tt9620292,Promising Young Woman,"['A', 'young', 'woman,', 'traumatized', 'by', 'a', 'tragic', 'event', 'in', 'her', 'past,', 'seeks', 'out', 'vengeance', 'against', 'those', 'who', 'crossed', 'her', 'path.', 'CareyMulligan', 'BoBurnham', 'AlisonBrie', 'ClancyBrown', 'EmeraldFennell']"
62,tt0116367,From Dusk Till Dawn,"['Two', 'criminals', 'and', 'their', 'hostages', 'unknowingly', 'seek', 'temporary', 'refuge', 'in', 'a', 'truck', 'stop', 'populated', 'by', 'vampires,', 'with', 'chaotic', 'results.', 'HarveyKeitel', 'GeorgeClooney', 'JulietteLewis', 'QuentinTarantino', 'RobertRodriguez']"
63,tt14114802,The Outfit,"['An', 'expert', 'cutter', 'must', 'outwit', 'a', 'dangerous', 'group', 'of', 'mobsters', 'in', 'order', 'to', 'survive', 'a', 'fateful', 'night.', 'MarkRylance', 'ZoeyDeutch', 'JohnGumley-Mason', 'StephenKnox', 'GrahamMoore']"
64,tt0086066,The Outsiders,"['The', 'rivalry', 'between', 'two', 'gangs,', 'the', 'poor', 'Greasers', 'and', 'the', 'rich', 'Socs,', 'only', 'heats', 'up', 'when', 'one', 'gang', 'member', 'kills', 'a', 'member', 'of', 'the', 'other.', 'C.ThomasHowell', 'MattDillon', 'RalphMacchio', 'PatrickSwayze', 'FrancisFordCoppola']"
68,tt0114814,The Usual Suspects,"['A', 'sole', 'survivor', 'tells', 'of', 'the', 'twisty', 'events', 'leading', 'up', 'to', 'a', 'horrific', 'gun', 'battle', 'on', 'a', 'boat,', 'which', 'began', 'when', 'five', 'criminals', 'met', 'at', 'a', 'seemingly', 'random', 'police', 'lineup.', 'KevinSpacey', 'GabrielByrne', 'ChazzPalminteri', 'StephenBaldwin', 'BryanSinger']"
69,tt6146586,John Wick: Chapter 3 - Parabellum,"['John', 'Wick', 'is', 'on', 'the', 'run', 'after', 'killing', 'a', 'member', 'of', 'the', 'international', ""assassins'"", 'guild,', 'and', 'with', 'a', '$14', 'million', 'price', 'tag', 'on', 'his', 'head,', 'he', 'is', 'the', 'target', 'of', 'hit', 'men', 'and', 'women', 'everywhere.', 'KeanuReeves', 'HalleBerry', 'IanMcShane', 'LaurenceFishburne', 'ChadStahelski']"
70,tt1302006,The Irishman,"['Hitman', 'Frank', 'Sheeran', 'looks', 'back', 'at', 'the', 'secrets', 'he', 'kept', 'as', 'a', 'loyal', 'member', 'of', 'the', 'Bufalino', 'crime', 'family.', 'RobertDeNiro', 'AlPacino', 'JoePesci', 'HarveyKeitel', 'MartinScorsese']"
72,tt11083552,Wrath of Man,"['A', 'cold', 'and', 'mysterious', 'character', 'working', 'at', 'a', 'cash', 'truck', 'company', 'responsible', 'for', 'moving', 'a', 'lot', 'of', 'money', 'around', 'Los', 'Angeles', 'each', 'week.', 'JasonStatham', 'HoltMcCallany', 'JoshHartnett', 'RocciBoyWilliams', 'GuyRitchie']"
73,tt0105236,Reservoir Dogs,"['When', 'a', 'simple', 'jewelry', 'heist', 'goes', 'horribly', 'wrong,', 'the', 'surviving', 'criminals', 'begin', 'to', 'suspect', 'that', 'one', 'of', 'them', 'is', 'a', 'police', 'informant.', 'HarveyKeitel', 'TimRoth', 'MichaelMadsen', 'ChrisPenn', 'QuentinTarantino']"
74,tt0327056,Mystic River,"['The', 'lives', 'of', 'three', 'men', 'who', 'were', 'childhood', 'friends', 'are', 'shattered', 'when', 'one', 'of', 'them', 'has', 'a', 'family', 'tragedy.', 'SeanPenn', 'TimRobbins', 'KevinBacon', 'EmmyRossum', 'ClintEastwood']"
76,tt0118715,The Big Lebowski,"['Ultimate', 'L.A.', 'slacker', 'Jeff', '""The', 'Dude""', 'Lebowski,', 'mistaken', 'for', 'a', 'millionaire', 'of', 'the', 'same', 'name,', 'seeks', 'restitution', 'for', 'a', 'rug', 'ruined', 'by', 'debt', 'collectors,', 'enlisting', 'his', 'bowling', 'buddies', 'for', 'help', 'while', 'trying', 'to', 'find', 'the', ""millionaire's"", 'missing', 'wife.', 'JeffBridges', 'JohnGoodman', 'JulianneMoore', 'SteveBuscemi', 'JoelCoen', 'EthanCoen']"
