,id,title,tags
66,tt6334354,The Suicide Squad,"['Supervillains', 'Harley', 'Quinn,', 'Bloodsport,', 'Peacemaker,', 'and', 'a', 'collection', 'of', 'nutty', 'cons', 'at', 'Belle', 'Reve', 'prison', 'join', 'the', 'super-secret,', 'super-shady', 'Task', 'Force', 'X', 'as', 'they', 'are', 'dropped', 'off', 'at', 'the', 'remote,', 'enemy-infused', 'island', 'of', 'Corto', 'Maltese.', 'MargotRobbie', 'IdrisElba', 'JohnCena', 'JoelKinnaman', 'JamesGunn']"
67,tt0120616,The Mummy,"['At', 'an', 'archaeological', 'dig', 'in', 'the', 'ancient', 'city', 'of', 'Hamunaptra,', 'an', 'American', 'serving', 'in', 'the', 'French', 'Foreign', 'Legion', 'accidentally', 'awakens', 'a', 'mummy', 'who', 'begins', 'to', 'wreak', 'havoc', 'as', 'he', 'searches', 'for', 'the', 'reincarnation', 'of', 'his', 'long-lost', 'love.', 'BrendanFraser', 'RachelWeisz', 'JohnHannah', 'ArnoldVosloo', 'StephenSommers']"
68,tt5013056,Dunkirk,"['Allied', 'soldiers', 'from', 'Belgium,', 'the', 'British', 'Commonwealth', 'and', 'Empire,', 'and', 'France', 'are', 'surrounded', 'by', 'the', 'German', 'Army', 'and', 'evacuated', 'during', 'a', 'fierce', 'battle', 'in', 'World', 'War', 'II.', 'FionnWhitehead', 'BarryKeoghan', 'MarkRylance', 'TomHardy', 'ChristopherNolan']"
69,tt0107290,Jurassic Park,"['A', 'pragmatic', 'paleontologist', 'touring', 'an', 'almost', 'complete', 'theme', 'park', 'on', 'an', 'island', 'in', 'Central', 'America', 'is', 'tasked', 'with', 'protecting', 'a', 'couple', 'of', 'kids', 'after', 'a', 'power', 'failure', 'causes', 'the', ""park's"", 'cloned', 'dinosaurs', 'to', 'run', 'loose.', 'SamNeill', 'LauraDern', 'JeffGoldblum', 'RichardAttenborough', 'StevenSpielberg']"
71,tt0096446,Willow,"['A', 'young', 'farmer', 'is', 'chosen', 'to', 'undertake', 'a', 'perilous', 'journey', 'in', 'order', 'to', 'protect', 'a', 'special', 'baby', 'from', 'an', 'evil', 'queen.', 'ValKilmer', 'JoanneWhalley', 'WarwickDavis', 'JeanMarsh', 'RonHoward']"
72,tt0478970,Ant-Man,"['Armed', 'with', 'a', 'super-suit', 'with', 'the', 'astonishing', 'ability', 'to', 'shrink', 'in', 'scale', 'but', 'increase', 'in', 'strength,', 'cat', 'burglar', 'Scott', 'Lang', 'must', 'embrace', 'his', 'inner', 'hero', 'and', 'help', 'his', 'mentor,', 'Dr.', 'Hank', 'Pym,', 'pull', 'off', 'a', 'plan', 'that', 'will', 'save', 'the', 'world.', 'PaulRudd', 'MichaelDouglas', 'CoreyStoll', 'EvangelineLilly', 'PeytonReed']"
73,tt1631867,Edge of Tomorrow,"['A', 'soldier', 'fighting', 'aliens', 'gets', 'to', 'relive', 'the', 'same', 'day', 'over', 'and', 'over', 'again,', 'the', 'day', 'restarting', 'every', 'time', 'he', 'dies.', 'TomCruise', 'EmilyBlunt', 'BillPaxton', 'BrendanGleeson', 'DougLiman']"
74,tt0167260,The Lord of the Rings: The Return of the King,"['Gandalf', 'and', 'Aragorn', 'lead', 'the', 'World', 'of', 'Men', 'against', ""Sauron's"", 'army', 'to', 'draw', 'his', 'gaze', 'from', 'Frodo', 'and', 'Sam', 'as', 'they', 'approach', 'Mount', 'Doom', 'with', 'the', 'One', 'Ring.', 'ElijahWood', 'ViggoMortensen', 'IanMcKellen', 'OrlandoBloom', 'PeterJackson']"
77,tt1951264,The Hunger Games: Catching Fire,"['Katniss', 'Everdeen', 'and', 'Peeta', 'Mellark', 'become', 'targets', 'of', 'the', 'Capitol', 'after', 'their', 'victory', 'in', 'the', '74th', 'Hunger', 'Games', 'sparks', 'a', 'rebellion', 'in', 'the', 'Districts', 'of', 'Panem.', 'JenniferLawrence', 'JoshHutcherson', 'LiamHemsworth', 'PhilipSeymourHoffman', 'FrancisLawrence']"
79,tt1950186,Ford v Ferrari,"['American', 'car', 'designer', 'Carroll', 'Shelby', 'and', 'driver', 'Ken', 'Miles', 'battle', 'corporate', 'interference', 'and', 'the', 'laws', 'of', 'physics', 'to', 'build', 'a', 'revolutionary', 'race', 'car', 'for', 'Ford', 'in', 'order', 'to', 'defeat', 'Ferrari', 'at', 'the', '24', 'Hours', 'of', 'Le', 'Mans', 'in', '1966.', 'MattDamon', 'ChristianBale', 'JonBernthal', 'CaitríonaBalfe', 'JamesMangold']"
84,tt2015381,Guardians of the Galaxy,"['A', 'group', 'of', 'intergalactic', 'criminals', 'must', 'pull', 'together', 'to', 'stop', 'a', 'fanatical', 'warrior', 'with', 'plans', 'to', 'purge', 'the', 'universe.', 'ChrisPratt', 'VinDiesel', 'BradleyCooper', 'ZoeSaldana', 'JamesGunn']"
85,tt0110413,Léon: The Professional,"['12-year-old', 'Mathilda', 'is', 'reluctantly', 'taken', 'in', 'by', 'Léon,', 'a', 'professional', 'assassin,', 'after', 'her', 'family', 'is', 'murdered.', 'An', 'unusual', 'relationship', 'forms', 'as', 'she', 'becomes', 'his', 'protégée', 'and', 'learns', 'the', ""assassin's"", 'trade.', 'JeanReno', 'GaryOldman', 'NataliePortman', 'DannyAiello', 'LucBesson']"
86,tt11866324,Prey,"['Naru,', 'a', 'skilled', 'warrior', 'of', 'the', 'Comanche', 'Nation,', 'fights', 'to', 'protect', 'her', 'tribe', 'against', 'one', 'of', 'the', 'first', 'highly-evolved', 'Predators', 'to', 'land', 'on', 'Earth.', 'AmberMidthunder', 'DakotaBeavers', 'DaneDiLiegro', 'StormeeKipp', 'DanTrachtenberg']"
87,tt1392190,Mad Max: Fury Road,"['In', 'a', 'post-apocalyptic', 'wasteland,', 'a', 'woman', 'rebels', 'against', 'a', 'tyrannical', 'ruler', 'in', 'search', 'for', 'her', 'homeland', 'with', 'the', 'aid', 'of', 'a', 'group', 'of', 'female', 'prisoners,', 'a', 'psychotic', 'worshiper,', 'and', 'a', 'drifter', 'named', 'Max.', 'TomHardy', 'CharlizeTheron', 'NicholasHoult', 'ZoëKravitz', 'GeorgeMiller']"
