,id,title,description,director,cast,rating
19076,tt1454592,End,"In the face of an apocalyptic world, father and daughter are forced to grapple with their relationship while facing a pandemic that threatens to eliminate humanity. While the world decays ...                See full summary »",Meg Welch,"Pearce Akpata, 
Weston Cody, 
Lorn Conner, 
Lauren Dunacheck",8.0
19329,tt3946998,"Hey Monster, Hands Off My City","This Fellini-inspired Comedy Film directed by Michael Meehan, features a large comic cast, and stars SF Comedians Johnny Steele and Reggie Steele as SFPD homicide detectives, who find half eaten bodies turning up all over San Francisco.",Michael Meehan,"Ngaio S. Bealum, 
Geoff Bolt, 
Nora Borgonovo, 
Roberta Borgonovo",8.5
19407,tt14676768,Ieandavi,"Three couples take on an adventurous journey into the forest but soon one of the girls goes missing. Their search for her takes a horrific turn when one of the boys dies. Soon, the group ...                See full summary »",Phani Ram,"Anuradha, 
Dileep, 
Nandu Vijay Krishna, 
Chitram Seenu",8.7
19413,tt3515792,CU Soon,"Haunted by a single text message, a young woman must confront her dark past, to discover the truth behind a series of recurring nightmares.","Lizbeth Chappell, 
Wayne Lin, 
Josue Lopez, 
Jared Towler","Hayley McLaughlin, 
Trista Robinson, 
Mia Ando, 
Jason Her",8.1
19429,tt2083153,Carnage Hall,"A mad killer is loose, preying on the residents of the coolest male dormitory ever.",John Harvey,"Kevin Schmidt, 
Todd Camp, 
David Andriesen, 
Robyn Adams Schmidt",8.3
19454,tt12964804,Virtual Attack,"Two friends are going to do a Zoom meeting, but what they didn't know is that a unknown user joined them and start to make things go scary.",Miguel Caxeta,Isabella Geldbach,8.4
19461,tt15758414,Sister,A young nun is haunted by evil spirits.,Colin Denhart,"Anuja Barua, 
Jada Buehler, 
Mauricia Cortez, 
Matthew Davis",8.2
19502,tt16293944,The Best of the Lads 2021,The Best Of The Lads 2021 is the epic finale to the Pavilion Saga. With all collections and Modict videos released in 2021 all coming together to make the biggest and most ambitious collection to date.,Jack Vickers,"Jacob Fountain, 
Alex Wheeler, 
Joel Cain, 
George Grozier",8.1
19574,tt5300680,Doppelgänger III: Deja Vu,In 2017 Anna continues to be persecuted by her look-a-like dead two hundred years before. In 1818 investigations into the death of Luigi Bacchi and the infanticide Emma Rigoni are assigned to a new detective.,Gian Guido Zurli,"Clelia Cicero, 
Paolo Paolini, 
Julia Rossi, 
Enzo Vanarelli",8.0
19589,tt2136889,ED & The Awakening,"Can you imagine a world without Lizards? No you can't, because it doesn't exist.",Patrick Love,"Graham Bartholomae, 
Colleen Breen, 
Michael Calay, 
Aaron Caponigro",8.6
